"Name(ocultar)";"Futbolista_ID";"GK";"DL";"DC";"DR";"WBL";"WBR";"DM";"ML";"MC";"MR";"AML";"AMC";"AMR";"ST"
"Veljko Birmančević";"2543";"1";"1";"1";"1";"5";"1";"1";"14";"8";"8";"20";"14";"14";"15"
"Isaiah Jones";"2544";"1";"8";"1";"11";"14";"18";"1";"17";"1";"16";"17";"1";"20";"12"
"Jemerson";"2545";"1";"1";"20";"10";"1";"8";"14";"1";"1";"1";"1";"1";"1";"1"
"Renê";"2546";"1";"20";"1";"14";"15";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Leonardo Godoy";"2547";"1";"1";"11";"20";"1";"16";"1";"1";"1";"10";"1";"1";"1";"1"
"Félix Torres";"2548";"1";"1";"20";"14";"1";"10";"1";"1";"1";"1";"1";"1";"1";"1"
"Sofiane Hanni";"2549";"1";"1";"1";"1";"1";"1";"1";"13";"14";"10";"18";"20";"16";"10"
"Jan Kuchta";"2550";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"13";"11";"13";"20"
"Matt O'Riley";"2551";"1";"1";"1";"1";"1";"1";"15";"1";"20";"1";"1";"13";"1";"1"
"Tomás Chancalay";"2552";"1";"1";"1";"1";"1";"1";"1";"13";"11";"10";"20";"18";"12";"14"
"Percy Tau";"2553";"1";"1";"1";"1";"1";"1";"1";"8";"8";"8";"20";"18";"16";"17"
"Mats Rits";"2554";"1";"1";"1";"1";"1";"1";"19";"1";"20";"1";"1";"12";"1";"1"
"Joe Bryan";"2555";"1";"20";"1";"1";"13";"1";"1";"10";"1";"1";"10";"1";"1";"1"
"Tim Ream";"2556";"1";"17";"20";"1";"1";"1";"13";"1";"1";"1";"1";"1";"1";"1"
"Albert Rusnák";"2557";"1";"1";"1";"1";"1";"1";"1";"14";"14";"10";"18";"20";"14";"14"
"William";"2558";"1";"16";"1";"20";"14";"18";"1";"10";"1";"12";"1";"1";"10";"1"
"Andi Zeqiri";"2559";"1";"1";"1";"1";"10";"1";"1";"15";"1";"10";"18";"10";"15";"20"
"Karl Darlow";"2560";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Michael Keane";"2561";"1";"1";"20";"13";"1";"1";"1";"1";"7";"10";"1";"1";"1";"1"
"Facundo Colidio";"2562";"1";"1";"1";"1";"1";"1";"1";"12";"1";"12";"20";"15";"18";"18"
"Sonny Kittel";"2563";"1";"1";"1";"1";"1";"1";"1";"20";"16";"15";"20";"18";"15";"12"
"Wes Foderingham";"2564";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Edmilson Junior";"2565";"1";"1";"1";"1";"1";"1";"1";"18";"12";"17";"20";"14";"19";"14"
"Jaidon Anthony";"2566";"1";"1";"1";"1";"1";"1";"1";"15";"1";"5";"20";"1";"10";"10"
"Amos Pieper";"2567";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Alan Velasco";"2568";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"18";"15";"17"
"Patrik Carlgren";"2569";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Samuel Portugal";"2570";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Tobias Strobl";"2571";"1";"1";"17";"12";"1";"1";"20";"1";"20";"1";"1";"1";"1";"1"
"Arber Zeneli";"2572";"1";"1";"1";"1";"1";"1";"1";"14";"1";"14";"20";"15";"18";"1"
"Maarten Stekelenburg";"2573";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Branimir Hrgota";"2574";"1";"1";"1";"1";"1";"1";"1";"13";"1";"16";"13";"14";"16";"20"
"Tchê Tchê";"2575";"1";"8";"1";"13";"9";"14";"17";"5";"20";"14";"7";"12";"11";"1"
"Léo";"2576";"1";"15";"20";"1";"12";"1";"1";"12";"1";"1";"1";"1";"1";"1"
"Jaílson";"2577";"1";"1";"16";"1";"1";"1";"20";"1";"16";"1";"1";"1";"1";"1"
"Brandon Mechele";"2578";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Joe Worrall";"2579";"1";"4";"20";"4";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Eray Cömert";"2580";"1";"1";"20";"1";"1";"1";"12";"1";"1";"1";"1";"1";"1";"1"
"Nikão";"2581";"1";"1";"1";"1";"1";"1";"1";"15";"17";"10";"18";"18";"20";"15"
"Antonio Čolak";"2582";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Hugo Moura";"2583";"1";"1";"10";"1";"1";"1";"20";"1";"15";"1";"1";"1";"1";"1"
"Bogdan Planić";"2584";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Jarrad Branthwaite";"2585";"1";"16";"20";"16";"1";"1";"10";"1";"7";"1";"1";"1";"1";"1"
"Etzaz Hussain";"2586";"1";"1";"1";"1";"1";"1";"17";"1";"20";"1";"1";"14";"1";"1"
"Alex Král";"2587";"1";"8";"14";"10";"8";"10";"20";"1";"18";"1";"1";"1";"1";"1"
"Sead Hakšabanović";"2588";"1";"1";"1";"1";"1";"1";"1";"15";"14";"11";"20";"16";"14";"11"
"Jean Meneses";"2589";"1";"1";"1";"1";"1";"1";"1";"1";"15";"1";"19";"20";"18";"12"
"Paddy McNair";"2590";"1";"1";"20";"12";"1";"14";"15";"13";"18";"14";"1";"14";"10";"1"
"Lautaro Blanco";"2591";"1";"20";"1";"1";"18";"1";"1";"15";"1";"1";"1";"1";"1";"1"
"Fabien Centonze";"2592";"1";"12";"1";"20";"1";"17";"13";"1";"1";"16";"1";"1";"14";"1"
"Gabriel Menino";"2593";"1";"1";"1";"16";"1";"15";"18";"6";"20";"16";"8";"11";"12";"1"
"Joseph Okumu";"2594";"1";"1";"20";"10";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Gregore";"2595";"1";"1";"12";"1";"1";"1";"20";"1";"19";"1";"1";"1";"1";"1"
"José Cifuentes";"2596";"1";"1";"1";"1";"1";"1";"17";"10";"20";"10";"5";"14";"5";"2"
"Ibrahima Sissoko";"2597";"1";"1";"12";"1";"1";"1";"20";"1";"20";"1";"1";"1";"1";"1"
"Malik Tillman";"2598";"1";"1";"1";"1";"1";"1";"10";"12";"17";"12";"15";"20";"15";"18"
"Ignasi Miquel";"2599";"1";"15";"20";"1";"12";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Shandon Baptiste";"2600";"1";"1";"1";"1";"1";"1";"15";"1";"20";"1";"1";"17";"1";"1"
"Timothy Weah";"2601";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"15";"20";"18"
"Matthias Zimmermann";"2602";"1";"12";"1";"19";"8";"16";"20";"1";"17";"10";"1";"1";"10";"1"
"Manuel Gulde";"2603";"1";"10";"20";"10";"8";"8";"12";"1";"12";"1";"1";"1";"1";"1"
"Jorge Pulido";"2604";"1";"1";"20";"12";"1";"1";"6";"1";"1";"1";"1";"1";"1";"1"
"Bernard Tekpetey";"2605";"1";"1";"1";"1";"7";"7";"1";"9";"1";"9";"17";"9";"20";"14"
"Paul Dummett";"2606";"1";"20";"18";"1";"13";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Jayden Bogle";"2607";"1";"1";"1";"20";"1";"20";"1";"1";"1";"14";"1";"1";"1";"1"
"Davie Selke";"2608";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"1";"10";"20"
"Florian Müller";"2609";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Charles Pickel";"2610";"1";"1";"14";"12";"1";"1";"20";"1";"20";"1";"1";"1";"1";"1"
"Jesús Vázquez";"2611";"1";"20";"1";"1";"19";"1";"1";"15";"1";"1";"14";"1";"1";"1"
"Lucas Mineiro";"2612";"1";"1";"7";"1";"1";"1";"16";"1";"20";"1";"1";"1";"1";"1"
"John";"2613";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Carlo Holse";"2614";"1";"1";"1";"1";"16";"1";"1";"18";"20";"18";"18";"18";"20";"16"
"Marcus Tavernier";"2615";"1";"8";"1";"8";"14";"14";"1";"12";"18";"12";"15";"20";"15";"10"
"Víctor Dávila";"2616";"1";"1";"1";"1";"1";"1";"1";"12";"1";"1";"20";"18";"1";"1"
"Matías Rojas";"2617";"1";"8";"1";"1";"10";"1";"1";"15";"20";"1";"12";"16";"1";"1"
"James McArthur";"2618";"1";"1";"1";"1";"1";"1";"18";"7";"20";"8";"1";"9";"1";"1"
"Dani Cárdenas";"2619";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Cristian Tarragona";"2620";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"8";"12";"20"
"Denis Odoi";"2621";"1";"12";"20";"20";"7";"10";"15";"1";"12";"1";"1";"1";"1";"1"
"Rubén Duarte";"2622";"1";"20";"16";"1";"17";"1";"8";"1";"1";"1";"1";"1";"1";"1"
"Bastos";"2623";"1";"10";"20";"10";"8";"8";"1";"1";"1";"1";"1";"1";"1";"1"
"Javi Puado";"2624";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"17";"17";"16";"20"
"Miguel Merentiel";"2625";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"5";"16";"20"
"Dimitris Giannoulis";"2626";"1";"19";"1";"1";"20";"1";"1";"16";"1";"1";"7";"1";"1";"1"
"Santiago Bueno";"2627";"1";"1";"20";"1";"1";"1";"5";"1";"1";"1";"1";"1";"1";"1"
"Camilo Cándido";"2628";"1";"17";"1";"1";"19";"1";"8";"20";"14";"1";"19";"6";"1";"1"
"Patrick Ciurria";"2629";"1";"1";"1";"10";"1";"19";"1";"1";"1";"19";"12";"15";"20";"17"
"Adrien Hunou";"2630";"1";"1";"1";"1";"1";"1";"1";"8";"10";"12";"12";"18";"14";"20"
"Pejiño";"2631";"1";"1";"1";"1";"12";"1";"1";"18";"1";"13";"20";"12";"17";"1"
"Réver";"2632";"1";"1";"20";"1";"1";"1";"13";"1";"1";"1";"1";"1";"1";"1"
"Jérémy Pied";"2633";"1";"10";"1";"20";"10";"18";"1";"12";"10";"15";"10";"1";"10";"1"
"Nicolò Rovella";"2634";"1";"1";"1";"1";"1";"1";"20";"1";"20";"1";"1";"12";"1";"1"
"Jean-Sylvain Babin";"2635";"1";"10";"20";"5";"1";"1";"10";"1";"5";"1";"1";"1";"1";"1"
"Nicolas Moumi Ngamaleu";"2636";"1";"1";"1";"1";"1";"1";"1";"1";"1";"16";"15";"10";"20";"18"
"José Carlos Lazo";"2637";"1";"1";"1";"1";"1";"1";"1";"17";"10";"15";"20";"18";"16";"1"
"Ali Mohamed";"2638";"1";"1";"1";"1";"1";"1";"16";"1";"20";"16";"1";"12";"10";"1"
"Sergio León";"2639";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"13";"13";"13";"20"
"Hannes Wolf";"2640";"1";"13";"1";"10";"14";"10";"1";"12";"12";"12";"15";"20";"15";"10"
"Takuma Asano";"2641";"1";"1";"1";"1";"1";"1";"1";"11";"1";"12";"19";"10";"20";"16"
"Oscar Duarte";"2642";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Tarek Hamed";"2643";"1";"1";"1";"1";"1";"1";"20";"1";"16";"1";"1";"1";"1";"1"
"Marcos López";"2644";"1";"20";"1";"1";"20";"1";"12";"17";"12";"1";"14";"1";"1";"1"
"Míler Bolaños";"2645";"1";"1";"1";"1";"1";"1";"1";"12";"8";"11";"17";"18";"17";"20"
"Mario Gila";"2646";"1";"1";"20";"1";"1";"1";"11";"1";"8";"1";"1";"1";"1";"1"
"Ezequiel Unsain";"2647";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Yeimar Gómez Andrade";"2648";"1";"1";"20";"8";"1";"1";"6";"1";"1";"1";"1";"1";"1";"1"
"Keita Baldé";"2649";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"16";"15";"15";"20"
"Eli Dasa";"2650";"1";"10";"7";"20";"11";"19";"14";"11";"13";"14";"8";"1";"11";"1"
"Kevin Bonifazi";"2651";"1";"1";"20";"12";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Fahd Moufi";"2652";"1";"5";"1";"20";"5";"18";"1";"1";"1";"13";"1";"1";"10";"1"
"Sergio Ruiz";"2653";"1";"1";"1";"1";"1";"1";"14";"1";"20";"1";"1";"10";"1";"1"
"Iddrisu Baba";"2654";"1";"1";"11";"1";"1";"1";"20";"1";"18";"1";"1";"1";"1";"1"
"Andrey Mostovoy";"2655";"1";"1";"1";"5";"11";"7";"1";"18";"1";"15";"20";"14";"15";"12"
"Dolev Haziza";"2656";"1";"8";"1";"9";"13";"15";"1";"15";"15";"16";"20";"18";"19";"14"
"Unai Bilbao";"2657";"1";"16";"20";"11";"1";"1";"10";"1";"1";"1";"1";"1";"1";"1"
"Luka Sučić";"2658";"1";"1";"1";"1";"1";"1";"1";"1";"20";"13";"1";"16";"11";"1"
"Alan Rodríguez";"2659";"1";"1";"1";"8";"1";"1";"17";"13";"20";"15";"13";"18";"19";"9"
"Mahmoud El Wensh";"2660";"1";"1";"20";"11";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Pepelu";"2661";"1";"1";"1";"1";"1";"1";"18";"1";"20";"1";"1";"13";"1";"1"
"Federico Lértora";"2662";"1";"1";"1";"1";"1";"1";"20";"1";"16";"1";"1";"1";"1";"1"
"Lautaro Acosta";"2663";"1";"1";"1";"1";"1";"1";"1";"15";"1";"15";"20";"10";"19";"14"
"Lucas Cavallini";"2664";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Sean Klaiber";"2665";"1";"13";"7";"18";"12";"20";"16";"7";"16";"19";"1";"11";"16";"1"
"Branco van den Boomen";"2666";"1";"1";"1";"1";"1";"1";"14";"1";"20";"1";"1";"15";"1";"1"
"Gyrano Kerk";"2667";"1";"1";"1";"1";"1";"1";"1";"1";"1";"16";"10";"10";"20";"15"
"Mohamed Ali Ben Romdhane";"2668";"1";"1";"1";"1";"1";"1";"15";"8";"20";"1";"8";"12";"1";"1"
"Aziz Yakubu";"2669";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"12";"1";"1";"20"
"David Okereke";"2670";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"14";"1";"16";"20"
"Samuele Birindelli";"2671";"1";"13";"8";"20";"13";"18";"1";"12";"1";"14";"1";"1";"1";"1"
"Amr El Soleya";"2672";"1";"1";"1";"1";"1";"1";"17";"1";"20";"10";"1";"1";"1";"1"
"Seamus Coleman";"2673";"1";"10";"14";"20";"1";"17";"1";"1";"1";"17";"1";"1";"5";"1"
"Dany Mota";"2674";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"18";"1";"19";"20"
"Michael Santos";"2675";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"13";"10";"20"
"Ferjani Sassi";"2676";"1";"1";"1";"1";"1";"1";"17";"1";"20";"1";"1";"13";"1";"1"
"Abdelilah Hafidi";"2677";"1";"1";"1";"1";"1";"1";"1";"12";"1";"12";"19";"20";"20";"12"
"Django Warmerdam";"2678";"1";"20";"14";"1";"19";"1";"18";"17";"16";"1";"1";"1";"1";"1"
"Brahian Alemán";"2679";"1";"1";"1";"1";"1";"1";"1";"10";"16";"8";"13";"20";"13";"1"
"Joël Piroe";"2680";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"16";"10";"20"
"Ghaylene Chaalali";"2681";"1";"1";"8";"1";"1";"1";"16";"1";"20";"10";"1";"7";"1";"1"
"Leonardo Pavoletti";"2682";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Yony González";"2683";"1";"1";"1";"1";"1";"1";"1";"12";"1";"12";"20";"10";"18";"10"
"Raúl Guti";"2684";"1";"1";"1";"1";"1";"1";"16";"13";"20";"15";"1";"14";"9";"1"
"Bruno Martins Indi";"2685";"1";"17";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Bernardo Cuesta";"2686";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"17";"1";"15";"20"
"Marlon Piedrahita";"2687";"1";"10";"1";"20";"10";"20";"1";"1";"1";"16";"1";"1";"15";"1"
"Bruno Costa";"2688";"1";"1";"1";"10";"1";"5";"10";"13";"20";"13";"15";"18";"15";"1"
"Carlos Sánchez";"2689";"1";"1";"1";"1";"1";"1";"8";"1";"20";"10";"1";"15";"12";"1"
"Diego Souza";"2690";"1";"1";"1";"1";"1";"1";"1";"6";"10";"6";"12";"17";"12";"20"
"Maarten Paes";"2691";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Jesús Murillo";"2692";"1";"1";"20";"15";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Matteo Lovato";"2693";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Celso Ortiz";"2694";"1";"1";"1";"1";"1";"1";"20";"18";"19";"13";"1";"5";"1";"1"
"Omar Colley";"2695";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Kiko Bondoso";"2696";"1";"1";"1";"1";"1";"1";"1";"13";"13";"13";"20";"17";"20";"13"
"Déinner Quiñónes";"2697";"1";"1";"1";"1";"1";"1";"1";"12";"10";"10";"20";"16";"10";"1"
"Matías Suárez";"2698";"1";"1";"1";"1";"1";"1";"1";"13";"1";"12";"18";"15";"15";"20"
"Paulino De la Fuente";"2699";"1";"1";"1";"1";"1";"1";"1";"1";"10";"1";"17";"16";"20";"12"
"Mohamed Fares";"2700";"1";"17";"1";"1";"20";"1";"1";"20";"1";"1";"16";"10";"1";"10"
"Joshua Zirkzee";"2701";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"15";"10";"20"
"Nacho Vidal";"2702";"1";"1";"12";"20";"1";"19";"1";"1";"1";"13";"1";"1";"1";"1"
"Jean-Daniel Akpa Akpro";"2703";"1";"11";"1";"11";"11";"12";"12";"7";"20";"11";"1";"11";"10";"8"
"Ionuţ Radu";"2704";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Sergio Camello";"2705";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Daniel Cataño";"2706";"1";"1";"1";"1";"1";"1";"1";"1";"12";"1";"12";"20";"12";"10"
"Ignacio Pussetto";"2707";"1";"1";"1";"1";"5";"10";"1";"12";"1";"15";"14";"15";"18";"20"
"Christian Marrugo";"2708";"1";"1";"1";"1";"1";"1";"10";"1";"17";"1";"1";"20";"1";"1"
"Riqui Puig";"2709";"1";"1";"1";"1";"1";"1";"1";"10";"20";"8";"10";"19";"10";"5"
"Álex Muñoz";"2710";"1";"20";"15";"1";"18";"1";"1";"8";"1";"1";"1";"1";"1";"1"
"Nicolás Figal";"2711";"1";"1";"20";"15";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"José Manuel López";"2712";"1";"1";"1";"1";"1";"1";"1";"8";"1";"1";"12";"1";"1";"20"
"Tozé";"2713";"1";"1";"1";"1";"1";"1";"1";"5";"20";"5";"18";"18";"14";"1"
"Saviour Godwin";"2714";"1";"1";"1";"1";"1";"1";"1";"12";"1";"12";"20";"1";"18";"14"
"Óscar Plano";"2715";"1";"1";"1";"1";"1";"1";"1";"8";"1";"9";"16";"20";"17";"19"
"Florin Andone";"2716";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Craig Gordon";"2717";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Kevin";"2718";"1";"1";"1";"20";"1";"18";"1";"1";"1";"1";"1";"1";"1";"1"
"Anderson Santamaría";"2719";"1";"1";"20";"1";"1";"1";"13";"1";"1";"1";"1";"1";"1";"1"
"Antony Silva";"2720";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Ivan Cavaleiro";"2721";"1";"1";"1";"1";"1";"1";"1";"10";"1";"10";"20";"14";"18";"16"
"Alejandro Balde";"2722";"1";"20";"1";"13";"19";"12";"1";"17";"1";"13";"15";"1";"14";"1"
"Rodrigo Zalazar";"2723";"1";"1";"1";"1";"1";"1";"12";"12";"20";"12";"15";"16";"15";"8"
"Ishak Belfodil";"2724";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"16";"10";"20"
"Federico Di Francesco";"2725";"1";"1";"1";"1";"10";"10";"1";"14";"8";"14";"18";"17";"20";"18"
"Lorenzo De Silvestri";"2726";"1";"9";"13";"20";"8";"20";"1";"7";"1";"17";"1";"1";"1";"1"
"Zé Luís";"2727";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"6";"6";"20"
"László Kleinheisler";"2728";"1";"1";"1";"1";"1";"1";"1";"16";"16";"16";"16";"20";"16";"10"
"Saúl Salcedo";"2729";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Arnaud Nordin";"2730";"1";"1";"1";"1";"1";"1";"1";"15";"1";"1";"20";"1";"12";"1"
"Gabriel Ávalos";"2731";"1";"1";"1";"1";"1";"1";"1";"10";"1";"1";"14";"1";"1";"20"
"Alfred Gomis";"2732";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Íñigo Eguaras";"2733";"1";"1";"1";"1";"1";"1";"20";"1";"15";"1";"1";"1";"1";"1"
"Jóhann Berg Guðmundsson";"2734";"1";"1";"1";"1";"1";"1";"1";"15";"9";"19";"16";"13";"20";"12"
"Hiroki Itô";"2735";"1";"15";"20";"1";"15";"1";"14";"1";"10";"1";"1";"1";"1";"1"
"Luis Advíncula";"2736";"1";"10";"1";"20";"8";"18";"1";"12";"10";"15";"12";"1";"12";"1"
"Etrit Berisha";"2737";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Carlos González";"2738";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Andreas Linde";"2739";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Hélder Costa";"2740";"1";"1";"1";"1";"1";"1";"1";"13";"1";"12";"20";"10";"19";"9"
"Jorge Rodríguez";"2741";"1";"1";"14";"10";"1";"1";"20";"1";"10";"1";"1";"1";"1";"1"
"Marquinhos";"2742";"1";"1";"1";"1";"1";"1";"1";"10";"10";"1";"16";"17";"12";"20"
"Mohamed Camara";"2743";"1";"1";"20";"1";"1";"1";"15";"1";"10";"1";"1";"1";"1";"1"
"Pablo Hernández";"2744";"1";"1";"1";"1";"1";"1";"1";"10";"15";"12";"17";"19";"20";"1"
"Sebastián Sosa";"2745";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Willian";"2746";"1";"1";"1";"1";"1";"1";"1";"11";"1";"10";"19";"1";"18";"20"
"Alan Franco";"2747";"1";"1";"20";"1";"1";"1";"10";"1";"1";"1";"1";"1";"1";"1"
"Ben Davies";"2748";"1";"12";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Éder";"2749";"1";"10";"20";"13";"7";"11";"15";"1";"13";"8";"1";"10";"8";"1"
"Fernando";"2750";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Gabriel";"2751";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Hernâni";"2752";"1";"1";"1";"1";"1";"1";"20";"1";"20";"1";"1";"12";"1";"1"
"Ianis Hagi";"2753";"1";"1";"1";"1";"1";"1";"1";"1";"14";"1";"15";"20";"19";"11"
"Rafael Carrascal";"2754";"1";"1";"1";"1";"1";"1";"20";"1";"18";"1";"1";"1";"1";"1"
"Erik Palmer-Brown";"2755";"1";"12";"20";"14";"1";"1";"16";"1";"1";"1";"1";"1";"1";"1"
"Luis Seijas";"2756";"1";"1";"1";"1";"1";"1";"1";"19";"18";"1";"20";"18";"1";"1"
"Miha Blažič";"2757";"1";"1";"20";"15";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Anderson";"2758";"1";"1";"20";"12";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Jonathan Osorio";"2759";"1";"1";"1";"1";"1";"1";"11";"15";"19";"16";"15";"20";"17";"7"
"Manuel Castro";"2760";"1";"1";"1";"1";"1";"1";"1";"6";"1";"15";"16";"6";"20";"12"
"Hernán Galíndez";"2761";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Jeffrey Gouweleeuw";"2762";"1";"1";"20";"10";"1";"8";"12";"1";"12";"1";"1";"1";"1";"1"
"Lorenzo Reyes";"2763";"1";"1";"1";"1";"1";"1";"20";"1";"18";"1";"1";"1";"1";"1"
"Orel Mangala";"2764";"1";"1";"1";"1";"1";"1";"18";"10";"20";"1";"10";"12";"1";"1"
"Bartol Franjić";"2765";"1";"15";"18";"1";"12";"1";"20";"10";"18";"1";"1";"1";"1";"1"
"Diego Rubio";"2766";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"14";"18";"8";"20"
"Toni Lato";"2767";"1";"20";"1";"1";"18";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Pape Diop";"2768";"1";"1";"1";"1";"1";"1";"20";"1";"19";"1";"1";"8";"1";"1"
"Nathan Tella";"2769";"1";"1";"1";"1";"1";"1";"1";"12";"1";"14";"14";"12";"20";"20"
"Mohamed Daramy";"2770";"1";"1";"1";"1";"1";"1";"1";"12";"1";"12";"20";"1";"16";"15"
"Jorge Meré";"2771";"1";"5";"20";"8";"1";"1";"8";"1";"1";"1";"1";"1";"1";"1"
"Ademir";"2772";"1";"1";"1";"1";"1";"1";"1";"1";"1";"12";"1";"1";"20";"1"
"Steven Lucumí";"2773";"1";"1";"1";"1";"1";"1";"1";"8";"1";"10";"16";"15";"20";"12"
"Jhon Vásquez";"2774";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"10";"18";"12"
"Scott Twine";"2775";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"16";"20";"14";"13"
"Alexey Sutormin";"2776";"1";"1";"1";"15";"7";"18";"1";"14";"8";"20";"14";"14";"17";"10"
"Adam Maher";"2777";"1";"1";"5";"1";"1";"1";"18";"1";"20";"1";"1";"18";"1";"10"
"Luis Pérez";"2778";"1";"1";"1";"20";"1";"18";"1";"1";"1";"10";"1";"1";"10";"1"
"Ardian Ismajli";"2779";"1";"1";"20";"16";"1";"10";"1";"1";"1";"1";"1";"1";"1";"1"
"Adrián Marín";"2780";"1";"19";"12";"1";"20";"1";"1";"14";"1";"1";"10";"1";"1";"1"
"Patrik Hrošovský";"2781";"1";"1";"1";"1";"1";"1";"20";"1";"19";"1";"1";"1";"1";"1"
"Mattia Bani";"2782";"1";"1";"20";"10";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Craig Cathcart";"2783";"1";"9";"20";"15";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Dalbert";"2784";"1";"20";"1";"1";"20";"1";"1";"16";"1";"1";"7";"1";"1";"1"
"Miranda";"2785";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Keinan Davis";"2786";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
