"Name(ocultar)";"Futbolista_ID";"Rendimiento en partidos importantes";"Lesiones";"Diversidad";"Adaptabilidad";"Ambición";"Razonamiento";"Lealtad";"Resistencia al estres";"Profesionalidad";"Deportividad";"Control emocional"
"Ignacio Rivero";"1522";"11";"5";"16";"12";"13";"7";"11";"10";"13";"12";"10"
"Largie Ramazani";"1523";"12";"10";"6";"15";"15";"7";"10";"12";"11";"10";"20"
"Okay Yokuşlu";"1524";"11";"10";"10";"9";"15";"5";"15";"12";"15";"14";"12"
"Kô Itakura";"1525";"14";"4";"14";"17";"15";"4";"9";"16";"18";"14";"14"
"Yan Couto";"1526";"7";"6";"12";"14";"13";"6";"12";"11";"12";"8";"12"
"Carlos Jr.";"1527";"14";"8";"14";"13";"14";"10";"12";"13";"14";"7";"14"
"Fabio Miretti";"1528";"13";"3";"11";"13";"16";"3";"15";"17";"18";"10";"9"
"Clinton Mata";"1529";"14";"6";"12";"14";"14";"8";"14";"14";"14";"12";"10"
"Ryan Bertrand";"1530";"12";"8";"15";"15";"15";"5";"10";"15";"18";"14";"17"
"Michael";"1531";"11";"8";"13";"15";"15";"10";"18";"14";"18";"10";"15"
"Andreas Cornelius";"1532";"13";"15";"6";"7";"13";"6";"14";"12";"12";"7";"11"
"Thiago Mendes";"1533";"11";"7";"10";"8";"12";"9";"12";"11";"11";"6";"11"
"Ferran Jutglà";"1534";"12";"12";"15";"12";"15";"5";"9";"15";"14";"16";"12"
"Anderson Plata";"1535";"12";"8";"15";"10";"11";"11";"9";"10";"10";"10";"11"
"Hugo Duro";"1536";"11";"4";"12";"13";"14";"11";"14";"9";"15";"11";"10"
"Thiago Galhardo";"1537";"12";"7";"15";"11";"13";"13";"9";"11";"13";"8";"10"
"Andrés Ibargüen";"1538";"7";"12";"9";"11";"12";"8";"12";"11";"12";"10";"11"
"Víctor Cuesta";"1539";"14";"14";"8";"14";"15";"16";"18";"14";"18";"11";"11"
"Guillermo Fernández";"1540";"12";"11";"16";"13";"11";"5";"12";"13";"16";"14";"13"
"Matías Viña";"1541";"13";"9";"12";"14";"14";"5";"12";"10";"13";"13";"12"
"Rayan Aït-Nouri";"1542";"11";"10";"10";"11";"15";"8";"14";"12";"15";"13";"11"
"Vincent Aboubakar";"1543";"14";"15";"10";"14";"13";"11";"10";"13";"15";"16";"14"
"Alessandro Buongiorno";"1544";"13";"7";"10";"14";"16";"7";"14";"14";"15";"12";"13"
"Charlie Taylor";"1545";"13";"7";"16";"15";"15";"6";"11";"15";"12";"17";"10"
"Lyanco";"1546";"12";"8";"6";"17";"14";"8";"10";"12";"16";"11";"9"
"Jorge Sánchez";"1547";"9";"7";"14";"12";"13";"11";"11";"11";"13";"10";"9"
"Gustavo";"1548";"11";"6";"4";"8";"13";"8";"13";"12";"12";"7";"17"
"Alfonso González";"1549";"13";"5";"12";"18";"12";"7";"13";"11";"11";"10";"14"
"Rodolfo Pizarro";"1550";"16";"7";"17";"7";"8";"3";"10";"9";"12";"9";"20"
"Paul Arriola";"1551";"11";"8";"16";"12";"11";"7";"10";"11";"12";"12";"9"
"Tokmac Nguen";"1552";"14";"12";"10";"9";"16";"13";"8";"8";"8";"8";"14"
"Henry Martín";"1553";"12";"8";"11";"8";"13";"6";"12";"12";"14";"8";"14"
"Kristijan Jakić";"1554";"13";"7";"17";"11";"13";"8";"12";"13";"13";"10";"7"
"Luiz Araújo";"1555";"12";"12";"12";"7";"14";"6";"13";"12";"12";"9";"12"
"Lorenzo Venuti";"1556";"11";"12";"17";"12";"13";"6";"13";"11";"13";"14";"10"
"Luka Ivanušec";"1557";"11";"7";"15";"8";"14";"8";"12";"13";"12";"7";"8"
"Alan Kardec";"1558";"13";"11";"10";"13";"15";"14";"10";"13";"11";"13";"15"
"Christian Noboa";"1559";"16";"4";"14";"15";"13";"7";"14";"10";"14";"8";"12"
"Léo Pereira";"1560";"12";"11";"14";"13";"13";"14";"12";"13";"8";"12";"12"
"Emmanuel Gyasi";"1561";"11";"2";"15";"12";"14";"13";"11";"9";"13";"11";"11"
"Luis Chávez";"1562";"12";"11";"13";"9";"13";"8";"12";"11";"13";"13";"10"
"Dedryck Boyata";"1563";"13";"14";"8";"17";"13";"9";"11";"14";"13";"15";"17"
"Adam Forshaw";"1564";"13";"17";"13";"12";"11";"7";"14";"11";"15";"13";"12"
"Andrea Petagna";"1565";"10";"8";"8";"12";"14";"5";"12";"10";"16";"15";"14"
"Emiliano Vecchio";"1566";"13";"15";"11";"13";"15";"16";"13";"12";"13";"13";"8"
"André Horta";"1567";"11";"7";"10";"8";"14";"6";"14";"15";"16";"12";"14"
"Cameron Carter-Vickers";"1568";"11";"10";"8";"8";"14";"4";"13";"9";"14";"14";"13"
"Ola Solbakken";"1569";"18";"8";"10";"12";"18";"6";"12";"10";"14";"14";"13"
"Paulo Díaz";"1570";"12";"8";"12";"16";"12";"10";"11";"12";"13";"11";"13"
"Ibrahima Diallo";"1571";"10";"6";"11";"8";"14";"8";"12";"9";"13";"13";"18"
"Artur";"1572";"11";"11";"6";"19";"13";"4";"12";"12";"12";"13";"13"
"Nahitan Nández";"1573";"16";"7";"15";"14";"14";"7";"12";"14";"15";"10";"8"
"Omer Atzili";"1574";"13";"10";"12";"7";"10";"12";"8";"7";"9";"9";"10"
"Abdul Mumin";"1575";"10";"7";"1";"19";"14";"5";"11";"14";"12";"10";"9"
"Yacine Adli";"1576";"13";"7";"12";"15";"16";"13";"12";"12";"14";"10";"12"
"Amine Gouiri";"1577";"15";"7";"11";"16";"15";"8";"14";"16";"16";"11";"14"
"Walace";"1578";"15";"5";"11";"13";"13";"15";"10";"12";"11";"9";"8"
"Rasmus Højlund";"1579";"12";"7";"9";"16";"15";"5";"15";"15";"16";"14";"10"
"David Brooks";"1580";"9";"10";"6";"10";"16";"4";"14";"14";"14";"13";"13"
"Nuno Sequeira";"1581";"11";"6";"12";"12";"13";"5";"13";"13";"15";"14";"11"
"Tomáš Holeš";"1582";"13";"7";"16";"9";"12";"11";"13";"11";"12";"12";"10"
"Javier Pastore";"1583";"14";"18";"13";"10";"14";"7";"14";"12";"17";"18";"15"
"Ryan Kent";"1584";"12";"7";"11";"15";"14";"4";"18";"15";"17";"10";"7"
"Anthony Caci";"1585";"13";"7";"18";"9";"12";"4";"14";"12";"12";"15";"16"
"Andros Townsend";"1586";"10";"9";"9";"12";"10";"6";"14";"12";"13";"10";"15"
"Ola Aina";"1587";"12";"7";"16";"12";"14";"7";"10";"11";"15";"14";"15"
"Pontus Jansson";"1588";"12";"9";"10";"18";"13";"18";"17";"14";"16";"4";"5"
"Faitout Maouassa";"1589";"12";"12";"14";"12";"16";"6";"12";"13";"14";"11";"16"
"Andrea Consigli";"1590";"14";"4";"13";"13";"16";"4";"18";"13";"17";"16";"18"
"Teemu Pukki";"1591";"14";"3";"7";"15";"13";"3";"13";"13";"16";"19";"18"
"Alfonso Espino";"1592";"13";"5";"5";"13";"13";"7";"16";"14";"15";"9";"11"
"Ahmed Hegazi";"1593";"14";"7";"5";"12";"10";"8";"13";"10";"13";"11";"12"
"Eldor Shomurodov";"1594";"8";"5";"12";"12";"16";"1";"13";"8";"15";"14";"17"
"Piero Hincapié";"1595";"12";"5";"15";"12";"12";"6";"11";"13";"15";"11";"12"
"Miguel Veloso";"1596";"13";"8";"12";"14";"15";"8";"12";"17";"19";"14";"12"
"Cristian Ramírez";"1597";"10";"6";"12";"10";"16";"5";"9";"11";"13";"10";"8"
"Javi Sánchez";"1598";"11";"11";"5";"18";"10";"8";"10";"11";"11";"11";"19"
"Jan Thielmann";"1599";"12";"7";"12";"7";"18";"5";"14";"15";"17";"15";"13"
"Tiémoué Bakayoko";"1600";"12";"10";"9";"11";"14";"11";"9";"11";"9";"11";"10"
"Jonathan Burkardt";"1601";"14";"7";"13";"9";"14";"6";"17";"12";"14";"16";"17"
"Sergio Herrera";"1602";"13";"15";"13";"9";"13";"7";"12";"10";"12";"11";"20"
"Richard Sánchez";"1603";"13";"10";"13";"13";"12";"7";"10";"13";"13";"7";"9"
"Marvin Schwäbe";"1604";"16";"6";"3";"11";"14";"6";"12";"16";"14";"15";"18"
"Sead Kolašinac";"1605";"14";"7";"14";"12";"16";"13";"10";"15";"12";"10";"10"
"Álvaro Negredo";"1606";"13";"9";"7";"12";"13";"7";"15";"13";"18";"16";"14"
"Jurgen Ekkelenkamp";"1607";"12";"5";"13";"15";"12";"3";"12";"14";"14";"12";"14"
"Toño";"1608";"12";"8";"12";"12";"13";"8";"12";"14";"14";"14";"9"
"Andreas Luthe";"1609";"13";"5";"13";"10";"10";"2";"10";"10";"12";"12";"14"
"Óscar Valentín";"1610";"7";"8";"14";"15";"13";"7";"15";"11";"16";"14";"14"
"Zaidu Sanusi";"1611";"16";"5";"14";"11";"14";"5";"9";"15";"14";"15";"13"
"Jaime Mata";"1612";"12";"6";"16";"20";"13";"6";"12";"14";"15";"10";"9"
"Mady Camara";"1613";"12";"7";"12";"15";"15";"8";"12";"12";"13";"9";"13"
"Gonzalo Melero";"1614";"13";"10";"11";"12";"14";"9";"13";"14";"14";"14";"12"
"Marcel Halstenberg";"1615";"11";"12";"15";"9";"16";"6";"10";"11";"14";"10";"16"
"Martín Ojeda";"1616";"11";"8";"12";"18";"14";"6";"11";"12";"14";"16";"12"
"Florian Niederlechner";"1617";"15";"7";"5";"7";"12";"6";"10";"12";"11";"14";"10"
"Timo Horn";"1618";"15";"6";"2";"12";"15";"5";"14";"13";"17";"15";"18"
"Mickaël Malsa";"1619";"12";"6";"11";"12";"13";"8";"12";"14";"13";"13";"7"
"Unai Núñez";"1620";"10";"5";"11";"17";"13";"7";"15";"14";"14";"12";"12"
"Benjamin Lecomte";"1621";"13";"9";"1";"14";"14";"5";"15";"13";"15";"14";"15"
"Hassane Kamara";"1622";"13";"5";"14";"14";"14";"4";"11";"10";"12";"11";"16"
"António Silva";"1623";"14";"5";"8";"16";"14";"6";"18";"13";"14";"15";"17"
"Sebastian Rode";"1624";"14";"17";"16";"10";"17";"9";"8";"13";"16";"12";"12"
"Adrià Pedrosa";"1625";"10";"6";"18";"18";"8";"7";"11";"12";"13";"8";"20"
"Florian Kainz";"1626";"12";"5";"12";"8";"15";"12";"12";"13";"12";"10";"10"
"Philipp Lienhart";"1627";"14";"6";"7";"12";"14";"4";"13";"14";"16";"15";"18"
"Lloyd Kelly";"1628";"12";"7";"11";"10";"9";"4";"14";"12";"12";"15";"13"
"Uroš Račić";"1629";"12";"9";"11";"12";"11";"9";"10";"11";"10";"11";"11"
"Aaron Hickey";"1630";"12";"8";"14";"15";"13";"3";"12";"13";"14";"15";"11"
"Robert Arboleda";"1631";"11";"8";"11";"14";"12";"14";"10";"9";"6";"9";"12"
"Adrien Thomasson";"1632";"12";"13";"12";"12";"13";"7";"14";"12";"11";"9";"13"
"Marvin Friedrich";"1633";"14";"8";"9";"8";"13";"5";"10";"12";"15";"11";"10"
"Marco Richter";"1634";"13";"5";"15";"12";"11";"9";"13";"16";"12";"12";"12"
"Gustavo Hamer";"1635";"10";"15";"13";"13";"12";"8";"12";"9";"12";"7";"6"
"Jefferson Savarino";"1636";"9";"8";"8";"12";"12";"7";"12";"11";"13";"11";"11"
"Roque Mesa";"1637";"13";"5";"18";"12";"15";"7";"16";"13";"16";"14";"11"
"Benjamin Hübner";"1638";"15";"15";"13";"7";"13";"5";"10";"14";"16";"10";"11"
"Kévin Malcuit";"1639";"12";"11";"12";"12";"13";"14";"11";"12";"9";"15";"12"
"Lucas Pérez";"1640";"11";"11";"13";"11";"12";"11";"11";"10";"13";"12";"9"
"Denis Vavro";"1641";"14";"8";"12";"15";"15";"12";"14";"13";"15";"13";"10"
"Perr Schuurs";"1642";"11";"9";"10";"15";"12";"8";"15";"14";"15";"16";"15"
"Waldemar Anton";"1643";"14";"4";"16";"10";"15";"2";"15";"14";"17";"15";"17"
"Max Aarons";"1644";"14";"3";"14";"16";"15";"4";"14";"14";"16";"13";"16"
"Demarai Gray";"1645";"11";"5";"6";"10";"14";"5";"11";"11";"15";"9";"11"
"Gonzalo Verdú";"1646";"13";"3";"6";"14";"11";"5";"18";"11";"17";"16";"12"
"Mihailo Ristić";"1647";"12";"9";"16";"12";"13";"10";"15";"13";"14";"12";"12"
"Agus Medina";"1648";"15";"9";"17";"18";"13";"3";"11";"11";"14";"12";"10"
"Jair";"1649";"13";"15";"12";"13";"12";"5";"12";"12";"13";"8";"10"
"Murilo";"1650";"12";"12";"11";"10";"8";"7";"10";"12";"14";"10";"15"
"Víctor Guzmán";"1651";"14";"13";"13";"9";"11";"1";"11";"10";"11";"10";"12"
"Zeca";"1652";"15";"15";"14";"18";"14";"2";"18";"15";"18";"17";"14"
"Brenner";"1653";"11";"9";"8";"7";"14";"5";"12";"15";"14";"10";"12"
"Rodrigo Pinho";"1654";"11";"15";"10";"12";"13";"7";"11";"11";"12";"6";"12"
"Evander";"1655";"13";"7";"16";"16";"13";"9";"13";"12";"11";"10";"11"
"Fabrício Bruno";"1656";"11";"10";"6";"8";"10";"8";"10";"10";"11";"10";"11"
"Mitchel Bakker";"1657";"12";"6";"8";"12";"14";"10";"11";"11";"13";"10";"10"
"Fran Navarro";"1658";"11";"6";"8";"16";"16";"12";"13";"14";"13";"11";"11"
"Pathé Ciss";"1659";"12";"3";"7";"13";"12";"6";"12";"12";"14";"12";"13"
"Makoto Hasebe";"1660";"16";"8";"17";"13";"11";"3";"17";"17";"19";"12";"15"
"Yunis Abdelhamid";"1661";"11";"5";"5";"9";"14";"7";"13";"12";"15";"13";"12"
"Peter Shalulile";"1662";"13";"8";"11";"12";"11";"1";"13";"11";"18";"15";"13"
"André Hahn";"1663";"14";"8";"15";"10";"16";"9";"8";"14";"13";"12";"9"
"Bartosz Bereszyński";"1664";"12";"10";"13";"15";"15";"10";"5";"13";"15";"12";"9"
"Kwon Chang-Hoon";"1665";"12";"9";"14";"10";"14";"10";"12";"10";"17";"16";"8"
"Anthony Gordon";"1666";"8";"11";"5";"9";"16";"8";"12";"12";"14";"12";"13"
"Birger Meling";"1667";"14";"9";"13";"18";"15";"4";"12";"14";"18";"16";"12"
"Bibars Natcho";"1668";"14";"6";"12";"13";"15";"6";"10";"14";"18";"15";"14"
"Josip Stanišić";"1669";"14";"9";"18";"13";"14";"6";"13";"10";"16";"10";"12"
"Rubén Castro";"1670";"12";"12";"16";"12";"16";"12";"12";"13";"13";"14";"12"
"Josip Juranović";"1671";"13";"6";"17";"15";"12";"6";"16";"8";"16";"19";"14"
"Timo Hübers";"1672";"15";"15";"7";"7";"12";"5";"14";"10";"16";"12";"16"
"Simon Banza";"1673";"11";"6";"10";"18";"13";"7";"8";"14";"12";"10";"10"
"Joaquín Piquerez";"1674";"13";"9";"15";"15";"13";"7";"9";"10";"10";"11";"11"
"Filipe Luís";"1675";"15";"12";"13";"10";"13";"12";"20";"12";"18";"11";"7"
"Jhon Lucumí";"1676";"11";"5";"12";"16";"11";"9";"12";"12";"15";"13";"13"
"Georginio Rutter";"1677";"9";"7";"13";"18";"13";"7";"14";"10";"12";"10";"14"
"Dayro Moreno";"1678";"14";"5";"12";"10";"14";"15";"11";"13";"12";"9";"14"
"Eduardo Salvio";"1679";"11";"14";"9";"16";"14";"6";"13";"12";"16";"9";"12"
"Ondrej Duda";"1680";"12";"10";"8";"13";"14";"10";"7";"10";"11";"9";"14"
"Tom Davies";"1681";"11";"7";"14";"16";"7";"4";"9";"12";"14";"13";"12"
"Tonny Vilhena";"1682";"13";"7";"13";"8";"15";"13";"9";"8";"10";"13";"18"
"Arthur Masuaku";"1683";"14";"10";"14";"16";"16";"14";"12";"16";"13";"11";"11"
"Milot Rashica";"1684";"12";"10";"11";"16";"16";"10";"9";"11";"13";"14";"14"
"Alessio Zerbin";"1685";"16";"4";"13";"10";"15";"6";"14";"14";"14";"14";"13"
"Aleš Čermák";"1686";"13";"10";"10";"12";"14";"15";"10";"14";"11";"10";"6"
"Martín Merquelanz";"1687";"13";"15";"12";"13";"14";"9";"13";"9";"12";"12";"12"
"Vedat Muriqi";"1688";"13";"7";"5";"14";"15";"5";"17";"17";"15";"13";"15"
"Diego Valoyes";"1689";"11";"13";"13";"12";"11";"6";"10";"14";"9";"11";"12"
"Marcelo Allende";"1690";"14";"6";"17";"8";"8";"2";"10";"8";"12";"11";"19"
"Zinho Vanheusden";"1691";"14";"15";"12";"12";"13";"7";"12";"14";"16";"12";"14"
"Sebastián Pérez";"1692";"13";"10";"13";"12";"12";"5";"15";"12";"13";"12";"11"
"Gabriel Strefezza";"1693";"13";"9";"14";"10";"14";"8";"10";"10";"14";"7";"8"
"Eduardo Bauermann";"1694";"13";"9";"8";"7";"12";"1";"11";"11";"10";"12";"18"
"Frédéric Guilbert";"1695";"12";"1";"14";"13";"14";"5";"16";"12";"14";"12";"12"
"Jakub Kiwior";"1696";"12";"5";"11";"15";"14";"1";"10";"12";"15";"9";"12"
"Habib Diallo";"1697";"10";"6";"8";"14";"14";"8";"13";"12";"12";"10";"19"
"Loris Karius";"1698";"9";"8";"1";"14";"14";"7";"11";"6";"14";"14";"14"
"Maximilian Philipp";"1699";"12";"11";"13";"12";"12";"5";"7";"11";"15";"18";"17"
"Dominik Kohr";"1700";"14";"7";"17";"8";"13";"6";"12";"12";"14";"12";"17"
"Jordy Clasie";"1701";"14";"9";"11";"9";"14";"6";"16";"16";"14";"14";"13"
"Guus Til";"1702";"11";"4";"12";"8";"14";"5";"13";"15";"14";"16";"16"
"Josuha Guilavogui";"1703";"12";"13";"10";"13";"15";"10";"14";"14";"17";"13";"11"
"Claudio Baeza";"1704";"12";"4";"11";"14";"13";"6";"12";"12";"13";"12";"11"
"Guillermo Maripán";"1705";"13";"4";"8";"11";"13";"6";"14";"12";"13";"9";"9"
"Xeka";"1706";"14";"8";"14";"11";"14";"10";"13";"13";"15";"12";"14"
"Tim Krul";"1707";"13";"13";"11";"16";"11";"3";"15";"14";"16";"2";"11"
"Geromel";"1708";"15";"14";"8";"16";"12";"10";"16";"15";"16";"16";"13"
"Anthony Lozano";"1709";"16";"12";"11";"14";"13";"6";"14";"11";"14";"13";"9"
"Monchu";"1710";"13";"6";"12";"12";"14";"5";"13";"14";"15";"13";"10"
"Juan Pablo Vargas";"1711";"12";"8";"17";"12";"13";"8";"12";"13";"12";"12";"10"
"Bruno Varela";"1712";"11";"13";"9";"20";"14";"8";"16";"8";"15";"5";"8"
"Hugo Vetlesen";"1713";"14";"6";"10";"11";"13";"7";"12";"13";"14";"12";"15"
"Valentino Lazaro";"1714";"11";"11";"17";"9";"14";"10";"12";"11";"13";"14";"14"
"Rubén Alcaraz";"1715";"9";"9";"11";"19";"11";"6";"11";"10";"10";"8";"19"
"Jacob Bruun Larsen";"1716";"11";"11";"17";"14";"17";"5";"12";"10";"13";"15";"17"
"Ivica Ivušić";"1717";"12";"6";"12";"16";"13";"10";"14";"14";"15";"13";"13"
"Lucas Chaves";"1718";"15";"7";"8";"11";"11";"5";"15";"14";"14";"8";"14"
"Juan Carlos";"1719";"10";"8";"12";"7";"11";"3";"9";"11";"12";"13";"16"
"Alberth Elis";"1720";"15";"4";"13";"11";"13";"12";"7";"11";"14";"8";"6"
"Asmir Begović";"1721";"13";"4";"1";"16";"13";"10";"11";"14";"16";"12";"8"
"Rodrigo Aliendro";"1722";"14";"12";"13";"12";"13";"8";"13";"13";"12";"7";"9"
"Eduardo Sasha";"1723";"11";"6";"14";"11";"13";"6";"13";"12";"14";"6";"10"
"Carlos Bacca";"1724";"14";"10";"7";"14";"14";"11";"15";"13";"14";"15";"11"
"Léandre Tawamba";"1725";"12";"8";"12";"13";"13";"7";"12";"12";"12";"13";"11"
"Antonio Sanabria";"1726";"8";"10";"11";"11";"13";"8";"12";"11";"14";"13";"12"
"Lucas Rodríguez";"1727";"10";"7";"14";"12";"10";"8";"9";"8";"11";"13";"14"
"Andreas Ulmer";"1728";"17";"11";"12";"10";"8";"11";"15";"13";"13";"14";"12"
"Víctor Laguardia";"1729";"13";"13";"12";"12";"12";"5";"17";"12";"15";"13";"15"
"Pedro Aquino";"1730";"11";"13";"12";"12";"12";"8";"12";"9";"10";"9";"11"
"Francesco Caputo";"1731";"15";"13";"6";"14";"17";"7";"14";"13";"15";"15";"14"
"Gonzalo Plata";"1732";"8";"8";"11";"12";"13";"11";"12";"11";"5";"6";"10"
"Fabricio Bustos";"1733";"12";"9";"16";"14";"14";"8";"16";"13";"15";"16";"14"
"Ayron del Valle";"1734";"14";"11";"13";"11";"11";"10";"12";"11";"12";"11";"11"
"José Callejón";"1735";"15";"7";"14";"16";"15";"11";"15";"14";"18";"9";"8"
"Byron Castillo";"1736";"12";"8";"16";"14";"14";"14";"10";"9";"10";"11";"18"
"Giorgio Scalvini";"1737";"15";"6";"7";"16";"17";"6";"14";"15";"18";"12";"13"
"Oscar Romero";"1738";"10";"8";"12";"14";"13";"6";"14";"11";"14";"12";"13"
"Imrân Louza";"1739";"10";"5";"9";"13";"14";"10";"16";"10";"16";"13";"10"
"Jordan Siebatcheu";"1740";"12";"8";"11";"14";"13";"5";"16";"12";"14";"15";"15"
"Oihan Sancet";"1741";"12";"11";"8";"9";"13";"8";"18";"11";"16";"11";"10"
"Andre Blake";"1742";"14";"11";"15";"17";"13";"2";"17";"16";"15";"16";"19"
"André André";"1743";"12";"13";"11";"12";"13";"11";"15";"13";"13";"7";"8"
"Ander Guevara";"1744";"12";"11";"18";"14";"9";"7";"15";"13";"14";"11";"12"
"Junior Sornoza";"1745";"13";"9";"12";"10";"12";"5";"12";"11";"12";"11";"11"
"Darwin Machís";"1746";"12";"5";"5";"12";"16";"10";"14";"14";"18";"15";"10"
"Carlos Clerc";"1747";"13";"8";"9";"12";"14";"8";"12";"13";"14";"12";"11"
"Gabriel Veron";"1748";"12";"12";"10";"14";"16";"15";"10";"11";"7";"11";"8"
"Victor Wanyama";"1749";"15";"14";"10";"16";"17";"11";"9";"16";"15";"14";"14"
"Luís Neto";"1750";"16";"8";"7";"15";"15";"6";"15";"12";"17";"14";"14"
"Ashley Westwood";"1751";"14";"8";"12";"18";"13";"10";"15";"12";"14";"10";"10"
"Dominique Heintz";"1752";"13";"8";"9";"7";"14";"5";"13";"11";"17";"15";"17"
"Lukas Lerager";"1753";"14";"6";"12";"16";"15";"10";"16";"15";"15";"13";"10"
"Sergi Guardiola";"1754";"17";"8";"13";"14";"13";"10";"12";"13";"14";"13";"12"
"Michael Estrada";"1755";"13";"6";"10";"12";"11";"14";"11";"9";"12";"10";"13"
"Dani Ojeda";"1756";"20";"5";"14";"18";"12";"4";"11";"12";"10";"11";"19"
"Édgar Méndez";"1757";"15";"7";"12";"12";"12";"1";"11";"11";"10";"11";"11"
"Antonio Puertas";"1758";"13";"9";"18";"13";"14";"6";"16";"15";"17";"12";"12"
"Matz Sels";"1759";"15";"6";"13";"12";"15";"7";"14";"12";"12";"10";"11"
"Álex Baena";"1760";"12";"5";"20";"19";"10";"8";"11";"12";"10";"13";"12"
"Adam Ounas";"1761";"14";"11";"13";"11";"14";"10";"9";"11";"10";"11";"10"
"Pedro Chirivella";"1762";"12";"9";"6";"14";"13";"5";"12";"11";"13";"13";"11"
"Tino Kadewere";"1763";"12";"6";"17";"10";"14";"6";"8";"10";"12";"9";"9"
"Shon Weissman";"1764";"14";"11";"12";"14";"14";"8";"16";"10";"13";"11";"10"
"Devyne Rensch";"1765";"9";"7";"16";"12";"14";"6";"14";"13";"14";"13";"13"
"Vina";"1766";"13";"6";"12";"11";"15";"18";"5";"12";"10";"6";"6"
"Hugo González";"1767";"17";"8";"12";"14";"9";"6";"10";"12";"11";"9";"17"
"Luan";"1768";"9";"7";"13";"15";"13";"7";"12";"10";"13";"7";"13"
"Marcelo";"1769";"13";"13";"8";"8";"14";"6";"13";"11";"16";"13";"12"
"Moisés";"1770";"11";"13";"12";"12";"9";"11";"11";"12";"16";"14";"12"
"Pedro Henrique";"1771";"11";"4";"9";"9";"12";"6";"12";"13";"12";"10";"10"
"Adama Traoré";"1772";"12";"9";"11";"13";"9";"3";"9";"10";"11";"13";"11"
"André Gomes";"1773";"14";"10";"13";"13";"12";"5";"13";"11";"15";"14";"12"
"Dodô";"1774";"11";"9";"11";"12";"12";"7";"13";"11";"12";"6";"11"
"Emiliano Martínez";"1775";"9";"11";"15";"11";"12";"2";"11";"11";"12";"9";"16"
"Fabiano";"1776";"8";"12";"13";"13";"11";"4";"13";"7";"14";"11";"12"
"Amadou Diawara";"1777";"7";"8";"8";"16";"14";"7";"12";"11";"15";"11";"12"
"Miha Zajc";"1778";"13";"9";"10";"10";"12";"9";"16";"14";"12";"11";"13"
"Deniz Undav";"1779";"10";"10";"11";"6";"14";"14";"7";"13";"8";"7";"10"
"Vanja Milinković-Savić";"1780";"12";"10";"10";"10";"13";"11";"11";"12";"12";"13";"13"
"Cucho Hernández";"1781";"11";"10";"10";"14";"11";"6";"11";"12";"12";"12";"11"
"Filip Đuričić";"1782";"10";"12";"16";"14";"14";"16";"5";"13";"11";"11";"10"
"Michele Di Gregorio";"1783";"12";"7";"11";"12";"14";"8";"14";"12";"14";"12";"12"
"Dmitry Barinov";"1784";"11";"12";"10";"18";"8";"6";"10";"9";"10";"11";"10"
"Mads Bech Sørensen";"1785";"12";"5";"14";"13";"14";"8";"16";"13";"14";"14";"13"
"Alexandru Maxim";"1786";"12";"6";"13";"14";"16";"14";"12";"10";"9";"10";"8"
"Giulio Maggiore";"1787";"13";"8";"10";"7";"14";"7";"14";"12";"14";"14";"12"
"Marinho";"1788";"14";"8";"16";"11";"17";"16";"5";"12";"9";"6";"10"
"Rifat Zhemaletdinov";"1789";"13";"7";"14";"7";"11";"7";"6";"8";"10";"11";"14"
"Simone Verdi";"1790";"11";"14";"14";"11";"14";"1";"13";"10";"17";"17";"15"
"Isaac Success";"1791";"11";"8";"14";"13";"14";"16";"10";"7";"9";"12";"10"
"David Von Ballmoos";"1792";"10";"10";"15";"18";"9";"7";"9";"11";"12";"13";"20"
"Omar Richards";"1793";"12";"3";"15";"13";"16";"5";"9";"12";"13";"15";"16"
"Martin Erlić";"1794";"10";"9";"12";"15";"14";"3";"13";"12";"14";"11";"10"
"Laurent Abergel";"1795";"14";"6";"12";"10";"14";"6";"14";"12";"14";"16";"14"
"Darren Randolph";"1796";"11";"5";"1";"15";"10";"12";"15";"8";"15";"11";"11"
"Ismail Jakobs";"1797";"10";"14";"14";"7";"14";"7";"15";"15";"15";"13";"13"
"Lutsharel Geertruida";"1798";"13";"11";"16";"8";"9";"7";"14";"15";"15";"15";"14"
"Mirko Ivanić";"1799";"13";"2";"10";"12";"13";"9";"14";"12";"13";"13";"12"
"Karim Onisiwo";"1800";"12";"8";"15";"9";"15";"14";"6";"11";"10";"12";"10"
"Joel Ward";"1801";"10";"6";"12";"14";"12";"1";"16";"9";"15";"10";"13"
"Brian Brobbey";"1802";"9";"12";"6";"9";"14";"3";"5";"13";"13";"9";"15"
"Phil Jones";"1803";"14";"20";"15";"18";"15";"8";"8";"15";"18";"15";"16"
"Falaye Sacko";"1804";"8";"9";"12";"12";"12";"5";"13";"8";"14";"12";"11"
"Soualiho Meïté";"1805";"12";"8";"11";"12";"15";"8";"10";"11";"15";"13";"13"
"Pedro Gallese";"1806";"13";"9";"12";"13";"15";"7";"12";"12";"14";"12";"12"
"Magomed Ozdoev";"1807";"11";"8";"13";"10";"14";"12";"11";"11";"11";"8";"7"
"Leonardo Bittencourt";"1808";"12";"14";"17";"9";"16";"10";"12";"11";"13";"11";"8"
"Julián Quiñones";"1809";"7";"13";"10";"13";"12";"10";"8";"10";"7";"8";"8"
"Alexandr Kokorin";"1810";"9";"9";"10";"10";"10";"8";"10";"7";"8";"12";"11"
