"Name(ocultar)";"Futbolista_ID";"Habilidad Actual (200)";"Habilidad Potencial (200)"
"Ezequiel Ponce";"2340";"128";"138"
"Tijjani Reijnders";"2341";"128";"135"
"Óscar De Marcos";"2342";"128";"150"
"Aron Einar Gunnarsson";"2343";"128";"130"
"Luis Amarilla";"2344";"128";"128"
"Kristian Thorstvedt";"2345";"128";"145"
"Liam Henderson";"2346";"128";"134"
"Santiago Ascacíbar";"2347";"128";"136"
"Àlex Granell";"2348";"128";"133"
"Nahuel Bustos";"2349";"128";"145"
"Jefferson Duque";"2350";"128";"140"
"Nemanja Radoja";"2351";"128";"145"
"Kara Mbodj";"2352";"128";"145"
"Wilfried Kanga";"2353";"128";"138"
"Salman Al-Faraj";"2354";"128";"130"
"Stanley Nsoki";"2355";"128";"136"
"Willyan Rocha";"2356";"128";"130"
"Pablo Aguilar";"2357";"128";"142"
"Rogério";"2358";"128";"140"
"Uroš Đurđević";"2359";"128";"141"
"André Hansen";"2360";"128";"134"
"Randy Nteka";"2361";"128";"147"
"Adonis Frías";"2362";"128";"137"
"Kevin Álvarez";"2363";"128";"150"
"Jorge Molina";"2364";"128";"135"
"Anaitz Arbilla";"2365";"128";"132"
"Anel Ahmedhodžić";"2366";"128";"165"
"Mohamed Sherif";"2367";"128";"140"
"Christian Fuchs";"2368";"128";"145"
"Richard Ortiz";"2369";"128";"136"
"Sergio Álvarez";"2370";"128";"135"
"Sebastiano Luperto";"2371";"128";"134"
"Enzo Pérez";"2372";"128";"155"
"Danny da Costa";"2373";"128";"132"
"Gustavo Cabral";"2374";"128";"146"
"Kanya Fujimoto";"2375";"128";"142"
"Fernando Llorente";"2376";"128";"165"
"Jens Cajuste";"2377";"128";"151"
"Enzo Copetti";"2378";"128";"131"
"Kanu";"2379";"128";"135"
"Nicola Sansone";"2380";"128";"150"
"Jorge Miramón";"2381";"128";"134"
"Tomás Belmonte";"2382";"128";"141"
"Achraf Bencharki";"2383";"128";"135"
"Ezequiel Cerutti";"2384";"128";"131"
"Filippo Bandinelli";"2385";"128";"133"
"Jean Mota";"2386";"128";"136"
"Sergio Rochet";"2387";"128";"138"
"Erik Durm";"2388";"128";"134"
"Sander van de Streek";"2389";"128";"129"
"Samuel Shashoua";"2390";"128";"143"
"Robin Zentner";"2391";"128";"132"
"Hobie Verhulst";"2392";"128";"128"
"Christopher Martins Pereira";"2393";"128";"138"
"Armando Obispo";"2394";"128";"140"
"Joël Drommel";"2395";"128";"136"
"Marcelo Saracchi";"2396";"128";"140"
"Marvin Ducksch";"2397";"128";"132"
"Federico Mancuello";"2398";"128";"142"
"Stiven Vega";"2399";"128";"145"
"Chris Willock";"2400";"128";"135"
"Stefan Lainer";"2401";"128";"137"
"Sam Lammers";"2402";"128";"134"
"Joe Rothwell";"2403";"128";"135"
"Paul Seguin";"2404";"128";"134"
"Jaine Barreiro";"2405";"128";"134"
"Vladimír Darida";"2406";"128";"140"
"Mama Baldé";"2407";"128";"134"
"Santiago Mele";"2408";"128";"137"
"Fabián Orellana";"2409";"128";"147"
"Diego Godín";"2410";"128";"169"
"Sven Ulreich";"2411";"128";"137"
"Reece Oxford";"2412";"128";"142"
"Gerard Gumbau";"2413";"128";"135"
"André Ayew";"2414";"128";"140"
"Emanuele Valeri";"2415";"128";"150"
"Vlad Chiricheş";"2416";"128";"145"
"Fede San Emeterio";"2417";"128";"133"
"Matěj Vydra";"2418";"128";"136"
"Bram Nuytinck";"2419";"128";"135"
"Jean-Paul Boëtius";"2420";"128";"135"
"Cristian Dájome";"2421";"128";"132"
"Bas Dost";"2422";"128";"143"
"Felipe Melo";"2423";"128";"158"
"Darragh Lenihan";"2424";"128";"135"
"Jorge Carrascal";"2425";"128";"136"
"Luis Miguel Rodríguez";"2426";"128";"136"
"Levin Öztunali";"2427";"128";"135"
"Tarik Tissoudali";"2428";"128";"138"
"Andrea Cambiaso";"2429";"128";"151"
"Michal Sáček";"2430";"128";"140"
"Srđan Plavšić";"2431";"128";"135"
"Gustavo Sauer";"2432";"128";"135"
"Alejandro Tabó";"2433";"128";"138"
"Marnon Busch";"2434";"128";"129"
"Afsha";"2435";"128";"135"
"Maxim Leitsch";"2436";"128";"138"
"Pantelis Hatzidiakos";"2437";"128";"132"
"Gabriel Mercado";"2438";"128";"147"
"Ramiro";"2439";"128";"140"
"Mubarak Wakaso";"2440";"128";"135"
"Leonardo Fernández";"2441";"128";"142"
"Awer Mabil";"2442";"128";"139"
"Nayef Aguerd";"2443";"128";"133"
"Fran Villalba";"2444";"128";"140"
"Daley Sinkgraven";"2445";"128";"132"
"Mike Trésor";"2446";"128";"139"
"Ercan Kara";"2447";"128";"130"
"Marius Bülter";"2448";"128";"130"
"Sinan Bolat";"2449";"128";"140"
"Keane Lewis-Potter";"2450";"128";"151"
"Jason";"2451";"128";"135"
"Fernando Miguel";"2452";"128";"133"
"Felix Passlack";"2453";"128";"135"
"Marvin Plattenhardt";"2454";"128";"139"
"Loïc Nego";"2455";"128";"148"
"Sean Longstaff";"2456";"128";"157"
"Yerson Candelo";"2457";"128";"132"
"Francisco Geraldes";"2458";"128";"134"
"Rob Dickie";"2459";"128";"140"
"Callum O'Hare";"2460";"128";"139"
"Arkadiusz Reca";"2461";"128";"133"
"Adrian Mierzejewski";"2462";"128";"135"
"Adama Soumaoro";"2463";"128";"135"
"Marcus Berg";"2464";"128";"140"
"Santiago Hezze";"2465";"128";"-75"
"Jang Hyun-Soo";"2466";"128";"130"
"Alireza Jahanbakhsh";"2467";"128";"139"
"Víctor Cantillo";"2468";"128";"145"
"Moussa Djénépo";"2469";"128";"141"
"Glen Kamara";"2470";"128";"139"
"Matheus Cavichioli";"2471";"128";"130"
"Cristián Zapata";"2472";"128";"154"
"Emanuel Aguilera";"2473";"128";"135"
"Michael Ngadeu-Ngadjui";"2474";"128";"129"
"Ermedin Demirovic";"2475";"128";"140"
"Bouna Sarr";"2476";"128";"140"
"Ghislain Konan";"2477";"128";"135"
"Filip Uremović";"2478";"128";"140"
"Aaron Long";"2479";"128";"128"
"Matt Miazga";"2480";"128";"135"
"Fabio Depaoli";"2481";"128";"136"
"Atakan Karazor";"2482";"128";"131"
"Diego Valdés";"2483";"128";"142"
"Sikou Niakaté";"2484";"128";"138"
"Joaquín Montecinos";"2485";"128";"135"
"Reinaldo";"2486";"128";"138"
"Juanjo Narváez";"2487";"128";"134"
"Micky van de Ven";"2488";"128";"150"
"Jordan Beyer";"2489";"128";"146"
"Rodrigo Battaglia";"2490";"128";"142"
"Armel Bella-Kotchap";"2491";"128";"-85"
"Gaël Kakuta";"2492";"128";"142"
"Gustavo Silva";"2493";"128";"135"
"Gonzalo Escalante";"2494";"128";"145"
"Fabio Quagliarella";"2495";"128";"159"
"Bobby Decordova-Reid";"2496";"128";"133"
"Marcelino Núñez";"2497";"128";"155"
"Lukáš Masopust";"2498";"128";"140"
"Cristian Arango";"2499";"128";"137"
"Maxime Gonalons";"2500";"128";"148"
"Joaquín";"2501";"128";"138"
"Lisandro López";"2502";"128";"145"
"Pablo";"2503";"128";"139"
"Paulinho";"2504";"128";"-8"
"Paulinho";"2505";"128";"145"
"Rafinha";"2506";"128";"150"
"Stefan Mitrović";"2507";"128";"136"
"Adama Traoré";"2508";"127";"135"
"Bernardo";"2509";"127";"131"
"Fernandinho";"2510";"127";"130"
"Jean";"2511";"127";"135"
"Ezequiel Bullaude";"2512";"127";"142"
"Mamadou Sakho";"2513";"127";"154"
"Odilon Kossounou";"2514";"127";"-85"
"Ramón Mierez";"2515";"127";"133"
"Didier Lamkel Zé";"2516";"127";"138"
"Heorhii Sudakov";"2517";"127";"-85"
"Helton Leite";"2518";"127";"132"
"Santiago Colombatto";"2519";"127";"141"
"Strahinja Pavlović";"2520";"127";"158"
"Gerardo Arteaga";"2521";"127";"134"
"Henrique Dourado";"2522";"127";"134"
"Alan Mozo";"2523";"127";"138"
"Josh Cullen";"2524";"127";"140"
"David Timor";"2525";"127";"134"
"Jackson Porozo";"2526";"127";"138"
"Jefferson Intriago";"2527";"127";"135"
"Steve Cook";"2528";"127";"142"
"Mitchell Weiser";"2529";"127";"137"
"Jonjoe Kenny";"2530";"127";"132"
"Rafał Gikiewicz";"2531";"127";"129"
"Paul Akouokou";"2532";"127";"140"
"Natan";"2533";"127";"139"
"Nabil Bentaleb";"2534";"127";"136"
"Andrew Omobamidele";"2535";"127";"150"
"Rúben Vinagre";"2536";"127";"142"
"Yvon Mvogo";"2537";"127";"134"
"Manuel Capasso";"2538";"127";"129"
"Marc-Oliver Kempf";"2539";"127";"134"
"Jan Kopic";"2540";"127";"130"
"Fábio";"2541";"127";"154"
"Milan Havel";"2542";"127";"130"
"Veljko Birmančević";"2543";"127";"140"
"Isaiah Jones";"2544";"127";"147"
"Jemerson";"2545";"127";"141"
"Renê";"2546";"127";"131"
"Leonardo Godoy";"2547";"127";"130"
"Félix Torres";"2548";"127";"135"
"Sofiane Hanni";"2549";"127";"132"
"Jan Kuchta";"2550";"127";"130"
"Matt O'Riley";"2551";"127";"159"
"Tomás Chancalay";"2552";"127";"139"
"Percy Tau";"2553";"127";"135"
"Mats Rits";"2554";"127";"132"
"Joe Bryan";"2555";"127";"137"
"Tim Ream";"2556";"127";"130"
"Albert Rusnák";"2557";"127";"136"
"William";"2558";"127";"138"
"Andi Zeqiri";"2559";"127";"147"
"Karl Darlow";"2560";"127";"134"
"Michael Keane";"2561";"127";"146"
"Facundo Colidio";"2562";"127";"138"
"Sonny Kittel";"2563";"127";"140"
"Wes Foderingham";"2564";"127";"128"
"Edmilson Junior";"2565";"127";"130"
"Jaidon Anthony";"2566";"127";"146"
"Amos Pieper";"2567";"127";"137"
"Alan Velasco";"2568";"127";"-85"
"Patrik Carlgren";"2569";"127";"130"
"Samuel Portugal";"2570";"127";"131"
"Tobias Strobl";"2571";"127";"134"
"Arber Zeneli";"2572";"127";"133"
"Maarten Stekelenburg";"2573";"127";"144"
"Branimir Hrgota";"2574";"127";"132"
"Tchê Tchê";"2575";"127";"138"
"Léo";"2576";"127";"134"
"Jaílson";"2577";"127";"134"
"Brandon Mechele";"2578";"127";"127"
"Joe Worrall";"2579";"127";"142"
"Eray Cömert";"2580";"127";"143"
"Nikão";"2581";"127";"134"
"Antonio Čolak";"2582";"127";"130"
"Hugo Moura";"2583";"127";"132"
"Bogdan Planić";"2584";"127";"131"
"Jarrad Branthwaite";"2585";"127";"-8"
"Etzaz Hussain";"2586";"127";"128"
"Alex Král";"2587";"127";"145"
"Sead Hakšabanović";"2588";"127";"148"
"Jean Meneses";"2589";"127";"135"
"Paddy McNair";"2590";"127";"145"
"Lautaro Blanco";"2591";"127";"139"
"Fabien Centonze";"2592";"127";"133"
"Gabriel Menino";"2593";"127";"153"
"Joseph Okumu";"2594";"127";"131"
"Gregore";"2595";"127";"128"
"José Cifuentes";"2596";"127";"143"
"Ibrahima Sissoko";"2597";"127";"137"
"Malik Tillman";"2598";"127";"142"
"Ignasi Miquel";"2599";"127";"140"
"Shandon Baptiste";"2600";"127";"148"
"Timothy Weah";"2601";"127";"150"
"Matthias Zimmermann";"2602";"127";"131"
"Manuel Gulde";"2603";"127";"129"
"Jorge Pulido";"2604";"127";"136"
"Bernard Tekpetey";"2605";"127";"132"
"Paul Dummett";"2606";"127";"135"
"Jayden Bogle";"2607";"127";"145"
"Davie Selke";"2608";"127";"135"
"Florian Müller";"2609";"127";"137"
"Charles Pickel";"2610";"127";"135"
"Jesús Vázquez";"2611";"127";"-85"
"Lucas Mineiro";"2612";"127";"132"
"John";"2613";"127";"136"
"Carlo Holse";"2614";"127";"137"
"Marcus Tavernier";"2615";"127";"142"
"Víctor Dávila";"2616";"127";"140"
"Matías Rojas";"2617";"127";"130"
"James McArthur";"2618";"127";"139"
"Dani Cárdenas";"2619";"127";"142"
"Cristian Tarragona";"2620";"127";"131"
"Denis Odoi";"2621";"127";"132"
"Rubén Duarte";"2622";"127";"140"
"Bastos";"2623";"127";"145"
"Javi Puado";"2624";"127";"142"
"Miguel Merentiel";"2625";"127";"134"
"Dimitris Giannoulis";"2626";"127";"140"
"Santiago Bueno";"2627";"127";"143"
"Camilo Cándido";"2628";"127";"127"
"Patrick Ciurria";"2629";"127";"133"
"Adrien Hunou";"2630";"127";"134"
"Pejiño";"2631";"127";"142"
"Réver";"2632";"127";"149"
"Jérémy Pied";"2633";"127";"136"
"Nicolò Rovella";"2634";"127";"-85"
"Jean-Sylvain Babin";"2635";"127";"137"
"Nicolas Moumi Ngamaleu";"2636";"127";"134"
"José Carlos Lazo";"2637";"127";"136"
"Ali Mohamed";"2638";"127";"132"
"Sergio León";"2639";"127";"140"
"Hannes Wolf";"2640";"127";"138"
"Takuma Asano";"2641";"127";"129"
"Oscar Duarte";"2642";"127";"135"
"Tarek Hamed";"2643";"127";"134"
"Marcos López";"2644";"127";"142"
"Míler Bolaños";"2645";"127";"145"
"Mario Gila";"2646";"127";"157"
"Ezequiel Unsain";"2647";"127";"130"
"Yeimar Gómez Andrade";"2648";"127";"127"
"Keita Baldé";"2649";"127";"150"
"Eli Dasa";"2650";"127";"139"
"Kevin Bonifazi";"2651";"127";"133"
"Fahd Moufi";"2652";"127";"136"
"Sergio Ruiz";"2653";"127";"146"
"Iddrisu Baba";"2654";"127";"144"
"Andrey Mostovoy";"2655";"127";"135"
"Dolev Haziza";"2656";"127";"127"
"Unai Bilbao";"2657";"127";"135"
"Luka Sučić";"2658";"127";"-85"
"Alan Rodríguez";"2659";"127";"150"
"Mahmoud El Wensh";"2660";"127";"138"
"Pepelu";"2661";"127";"146"
"Federico Lértora";"2662";"127";"131"
"Lautaro Acosta";"2663";"127";"145"
"Lucas Cavallini";"2664";"127";"138"
"Sean Klaiber";"2665";"127";"131"
"Branco van den Boomen";"2666";"127";"130"
"Gyrano Kerk";"2667";"127";"135"
"Mohamed Ali Ben Romdhane";"2668";"127";"140"
"Aziz Yakubu";"2669";"127";"136"
"David Okereke";"2670";"127";"135"
"Samuele Birindelli";"2671";"127";"144"
"Amr El Soleya";"2672";"127";"134"
"Seamus Coleman";"2673";"127";"153"
"Dany Mota";"2674";"127";"136"
"Michael Santos";"2675";"127";"137"
"Ferjani Sassi";"2676";"127";"135"
"Abdelilah Hafidi";"2677";"127";"135"
"Django Warmerdam";"2678";"127";"130"
"Brahian Alemán";"2679";"127";"140"
"Joël Piroe";"2680";"127";"144"
"Ghaylene Chaalali";"2681";"127";"130"
"Leonardo Pavoletti";"2682";"127";"140"
"Yony González";"2683";"127";"137"
"Raúl Guti";"2684";"127";"140"
"Bruno Martins Indi";"2685";"127";"142"
"Bernardo Cuesta";"2686";"127";"130"
"Marlon Piedrahita";"2687";"127";"135"
"Bruno Costa";"2688";"127";"143"
"Carlos Sánchez";"2689";"127";"142"
"Diego Souza";"2690";"127";"146"
"Maarten Paes";"2691";"127";"140"
"Jesús Murillo";"2692";"127";"130"
"Matteo Lovato";"2693";"127";"154"
"Celso Ortiz";"2694";"127";"130"
"Omar Colley";"2695";"127";"135"
"Kiko Bondoso";"2696";"127";"131"
"Déinner Quiñónes";"2697";"127";"130"
"Matías Suárez";"2698";"127";"143"
"Paulino De la Fuente";"2699";"127";"139"
"Mohamed Fares";"2700";"127";"140"
"Joshua Zirkzee";"2701";"127";"152"
"Nacho Vidal";"2702";"127";"138"
"Jean-Daniel Akpa Akpro";"2703";"127";"135"
"Ionuţ Radu";"2704";"127";"136"
"Sergio Camello";"2705";"127";"154"
"Daniel Cataño";"2706";"127";"129"
"Ignacio Pussetto";"2707";"127";"135"
"Christian Marrugo";"2708";"127";"140"
"Riqui Puig";"2709";"127";"151"
"Álex Muñoz";"2710";"127";"138"
"Nicolás Figal";"2711";"127";"131"
"José Manuel López";"2712";"127";"147"
"Tozé";"2713";"127";"137"
"Saviour Godwin";"2714";"127";"130"
"Óscar Plano";"2715";"127";"131"
"Florin Andone";"2716";"127";"148"
"Craig Gordon";"2717";"127";"138"
"Kevin";"2718";"127";"135"
"Anderson Santamaría";"2719";"127";"130"
"Antony Silva";"2720";"127";"130"
"Ivan Cavaleiro";"2721";"127";"138"
"Alejandro Balde";"2722";"127";"-9"
"Rodrigo Zalazar";"2723";"127";"149"
"Ishak Belfodil";"2724";"127";"146"
"Federico Di Francesco";"2725";"127";"134"
"Lorenzo De Silvestri";"2726";"127";"144"
"Zé Luís";"2727";"127";"138"
"László Kleinheisler";"2728";"127";"129"
"Saúl Salcedo";"2729";"127";"140"
"Arnaud Nordin";"2730";"127";"136"
"Gabriel Ávalos";"2731";"127";"127"
"Alfred Gomis";"2732";"127";"132"
"Íñigo Eguaras";"2733";"127";"130"
"Jóhann Berg Guðmundsson";"2734";"127";"146"
"Hiroki Itô";"2735";"127";"140"
"Luis Advíncula";"2736";"127";"131"
"Etrit Berisha";"2737";"127";"138"
"Carlos González";"2738";"127";"137"
"Andreas Linde";"2739";"127";"136"
"Hélder Costa";"2740";"127";"145"
"Jorge Rodríguez";"2741";"127";"133"
"Marquinhos";"2742";"127";"135"
"Mohamed Camara";"2743";"127";"138"
"Pablo Hernández";"2744";"127";"156"
"Sebastián Sosa";"2745";"127";"145"
"Willian";"2746";"127";"140"
"Alan Franco";"2747";"126";"135"
"Ben Davies";"2748";"126";"145"
"Éder";"2749";"126";"128"
"Fernando";"2750";"126";"129"
"Gabriel";"2751";"126";"126"
"Hernâni";"2752";"126";"141"
"Ianis Hagi";"2753";"126";"139"
"Rafael Carrascal";"2754";"126";"128"
"Erik Palmer-Brown";"2755";"126";"134"
"Luis Seijas";"2756";"126";"137"
"Miha Blažič";"2757";"126";"128"
"Anderson";"2758";"126";"129"
"Jonathan Osorio";"2759";"126";"126"
"Manuel Castro";"2760";"126";"128"
"Hernán Galíndez";"2761";"126";"126"
"Jeffrey Gouweleeuw";"2762";"126";"135"
"Lorenzo Reyes";"2763";"126";"130"
"Orel Mangala";"2764";"126";"134"
"Bartol Franjić";"2765";"126";"146"
"Diego Rubio";"2766";"126";"126"
"Toni Lato";"2767";"126";"148"
"Pape Diop";"2768";"126";"144"
"Nathan Tella";"2769";"126";"144"
"Mohamed Daramy";"2770";"126";"-85"
"Jorge Meré";"2771";"126";"140"
"Ademir";"2772";"126";"129"
"Steven Lucumí";"2773";"126";"134"
"Jhon Vásquez";"2774";"126";"132"
"Scott Twine";"2775";"126";"145"
"Alexey Sutormin";"2776";"126";"128"
"Adam Maher";"2777";"126";"127"
"Luis Pérez";"2778";"126";"135"
"Ardian Ismajli";"2779";"126";"135"
"Adrián Marín";"2780";"126";"136"
"Patrik Hrošovský";"2781";"126";"140"
"Mattia Bani";"2782";"126";"133"
"Craig Cathcart";"2783";"126";"139"
"Dalbert";"2784";"126";"140"
"Miranda";"2785";"126";"161"
"Keinan Davis";"2786";"126";"140"
"Bakery Jatta";"2787";"126";"136"
"Nanu";"2788";"126";"136"
"Lewis O'Brien";"2789";"126";"140"
"Sebastian Vasiliadis";"2790";"126";"139"
"Kelechi Nwakali";"2791";"126";"140"
"Samuel Xavier";"2792";"126";"129"
"Kamal Sowah";"2793";"126";"134"
"Diogo Gonçalves";"2794";"126";"136"
"Egídio";"2795";"126";"139"
"Boschilia";"2796";"126";"140"
"Alexander Schwolow";"2797";"126";"136"
"Rouwen Hennings";"2798";"126";"136"
"Sebastian Jung";"2799";"126";"139"
"José Sand";"2800";"126";"140"
"Daniel Bessa";"2801";"126";"136"
"Patrick Herrmann";"2802";"126";"142"
"Alex McCarthy";"2803";"126";"140"
"Lewis Travis";"2804";"126";"135"
"Haris Belkebla";"2805";"126";"127"
"Cyriel Dessers";"2806";"126";"130"
"Bryan Heynen";"2807";"126";"130"
"Erik";"2808";"126";"130"
"Marcos Felipe";"2809";"126";"130"
"Richard Schunke";"2810";"126";"127"
"Jordan Lotomba";"2811";"126";"138"
"Sergio Vittor";"2812";"126";"132"
"Julián Quiñónes";"2813";"126";"135"
"Chofis";"2814";"126";"138"
"Fin Bartels";"2815";"126";"136"
"Sergio Akieme";"2816";"126";"144"
"Jorge Morel";"2817";"126";"136"
"Mauricio Isla";"2818";"126";"146"
"Diego Reyes";"2819";"126";"138"
"Ryad Boudebouz";"2820";"126";"140"
"Erick Cabaco";"2821";"126";"140"
"Michal Sadílek";"2822";"126";"144"
"François Kamano";"2823";"126";"131"
"Lucas Áfrico";"2824";"126";"130"
"Oscar Ustari";"2825";"126";"140"
"Carlos Coronel";"2826";"126";"140"
"Eduard Löwen";"2827";"126";"135"
"Juan Otero";"2828";"126";"127"
"Ismael Saibari";"2829";"126";"144"
"Chris Mepham";"2830";"126";"145"
"Morten Hjulmand";"2831";"126";"148"
"Jack Stacey";"2832";"126";"145"
"Tobias Mohr";"2833";"126";"130"
"Viktor Fischer";"2834";"126";"145"
"Đorđe Jovanović";"2835";"126";"135"
"Enzo Le Fée";"2836";"126";"150"
"Rodinei";"2837";"126";"132"
"Jean-Charles Castelletto";"2838";"126";"130"
"Luca Ranieri";"2839";"126";"143"
"Otar Kiteishvili";"2840";"126";"133"
"Gerrit Holtmann";"2841";"126";"129"
"Kevin Diks";"2842";"126";"135"
"Hidde ter Avest";"2843";"126";"133"
"Brad Smith";"2844";"126";"135"
"Linton Maina";"2845";"126";"142"
"Mohamed Bayo";"2846";"126";"135"
"Jack O'Connell";"2847";"126";"145"
"Timothy Fosu-Mensah";"2848";"126";"138"
"Jhojan Valencia";"2849";"126";"130"
"Nicolás Fernández Mercau";"2850";"126";"139"
"Jorge";"2851";"126";"139"
"Kelvin Amian";"2852";"126";"140"
"Mido";"2853";"126";"136"
"Josh Onomah";"2854";"126";"139"
"Nikola Maraš";"2855";"126";"145"
"John Swift";"2856";"126";"135"
"Aster Vranckx";"2857";"126";"-85"
"Dani de Wit";"2858";"126";"133"
"Samir Memisevic";"2859";"126";"127"
"Marllon";"2860";"126";"126"
"Carlos Cáceda";"2861";"126";"128"
"Nathaniel Chalobah";"2862";"126";"156"
"Thiago Martins";"2863";"126";"137"
"Albert Guðmundsson";"2864";"126";"134"
"Erik Botheim";"2865";"126";"147"
"Isaac Hayden";"2866";"126";"140"
"Ondřej Kúdela";"2867";"126";"130"
"Jean Butez";"2868";"126";"126"
"Nathan Phillips";"2869";"126";"136"
"Facundo Farías";"2870";"126";"-8"
"Philip Zinckernagel";"2871";"126";"126"
"Alexandro Bernabéi";"2872";"126";"140"
"Rubén Sobrino";"2873";"126";"135"
"Jacob Murphy";"2874";"126";"132"
"Mike van der Hoorn";"2875";"126";"133"
"Florent Mollet";"2876";"126";"135"
"Dylan Bronn";"2877";"126";"132"
"Milan Đurić";"2878";"126";"130"
"Tiago Tomás";"2879";"126";"-8"
"Andreas Maxsø";"2880";"126";"128"
"Joãozinho";"2881";"126";"128"
"Domingo Blanco";"2882";"126";"126"
"Zouhair Feddal";"2883";"126";"143"
"Pablo Piatti";"2884";"126";"155"
"Marrony";"2885";"126";"134"
"Cristian Barrios";"2886";"126";"139"
"Lucas Castro";"2887";"126";"138"
"Mimoun Mahi";"2888";"126";"128"
"Henrique Araújo";"2889";"126";"-85"
"Antônio Carlos";"2890";"126";"131"
"Josip Drmić";"2891";"126";"143"
"Iván Martín";"2892";"126";"144"
"Lucas Evangelista";"2893";"126";"132"
"Sebastian Griesbeck";"2894";"126";"127"
"Tadeo Allende";"2895";"126";"132"
"Marek Rodák";"2896";"126";"145"
"Flavius Daniliuc";"2897";"126";"157"
"Manolo Portanova";"2898";"126";"148"
"Kaio Fernando";"2899";"126";"128"
"Leonardo Lelo";"2900";"126";"144"
"John Lundstram";"2901";"126";"134"
"Mattia Destro";"2902";"126";"145"
"Youssef Msakni";"2903";"126";"156"
"Gustavo Assunção";"2904";"126";"142"
"Konstantinos Laifis";"2905";"126";"133"
"Ahmed Elmohamady";"2906";"126";"130"
"Lukáš Provod";"2907";"126";"135"
"Léo Jardim";"2908";"126";"140"
"Renato Chaves";"2909";"126";"127"
"Renato Steffen";"2910";"126";"134"
"Leonardo Morales";"2911";"126";"127"
"Diego Barbosa";"2912";"126";"132"
"Iván Gómez";"2913";"126";"129"
"Keaton Parks";"2914";"126";"145"
"Giuliano Galoppo";"2915";"126";"135"
"Moon Seon-Min";"2916";"126";"130"
"Federico Navarro";"2917";"126";"152"
"George Baldock";"2918";"126";"137"
"Kevin Agudelo";"2919";"126";"143"
"José Corpas";"2920";"126";"131"
"Luciano Boggio";"2921";"126";"141"
"Thomas Mangani";"2922";"126";"129"
"Shamar Nicholson";"2923";"126";"127"
"Anders Dreyer";"2924";"126";"140"
"Martín Satriano";"2925";"126";"152"
"Gavin Bazunu";"2926";"126";"-85"
"Ali Adnan";"2927";"126";"133"
"Matheus Henrique";"2928";"126";"139"
"Aliou Dieng";"2929";"126";"148"
"Sebastián Jurado";"2930";"126";"142"
"Lucas Romero";"2931";"126";"137"
"Pablo Valcarce";"2932";"126";"126"
"Ivan Ordets";"2933";"126";"130"
"Ivan Šunjić";"2934";"126";"144"
"Yaser Asprilla";"2935";"126";"-9"
"Luka Milivojević";"2936";"126";"146"
"Javi Manquillo";"2937";"126";"130"
"Taxi Fountas";"2938";"126";"132"
"Mathías Villasanti";"2939";"126";"136"
"Tony Jantschke";"2940";"126";"135"
"Daniel Bragança";"2941";"126";"146"
"Stipe Perica";"2942";"126";"129"
"Brian Rodríguez";"2943";"126";"-8"
"Salomón Rondón";"2944";"126";"148"
"Loreintz Rosier";"2945";"126";"138"
"Alexander Jeremejeff";"2946";"126";"128"
"Lucas Mendes";"2947";"126";"140"
"Pablo Insua";"2948";"126";"149"
"James Forrest";"2949";"126";"145"
"Mariano Andújar";"2950";"126";"140"
"Christian Kabasele";"2951";"126";"145"
"Ramiro Carrera";"2952";"126";"129"
"Raul";"2953";"126";"138"
"Gabriel Sara";"2954";"126";"138"
"Igor Gomes";"2955";"126";"142"
"Cristian Martínez Borja";"2956";"126";"133"
"Ohi Omoijuanfo";"2957";"126";"133"
"Víctor Díaz";"2958";"126";"132"
"Peter Pekarík";"2959";"126";"130"
"Ulrik Saltnes";"2960";"126";"129"
"Scott McKenna";"2961";"126";"148"
"Rodrigo Nestor";"2962";"126";"138"
"Braian Cufré";"2963";"126";"138"
"Gonçalo Paciência";"2964";"126";"132"
"Josh Doig";"2965";"126";"149"
"Mert Müldür";"2966";"126";"142"
"Brendan Chardonnet";"2967";"126";"127"
"Helinho";"2968";"126";"144"
"Erik Lira";"2969";"126";"145"
"Damián Batallini";"2970";"126";"129"
"Santiago Cáseres";"2971";"126";"130"
"Badr Benoun";"2972";"126";"130"
"João Basso";"2973";"126";"135"
"Rhys Norrington-Davies";"2974";"126";"138"
"Ali Gholizadeh";"2975";"126";"133"
"Dante Stipica";"2976";"126";"126"
"Gustavo Del Prete";"2977";"126";"133"
"Mehdi Bourabia";"2978";"126";"131"
"Tomás Cuello";"2979";"126";"138"
"Alan Empereur";"2980";"126";"130"
"Bryan Acosta";"2981";"126";"135"
"Ozan Tufan";"2982";"126";"140"
"Marc Muniesa";"2983";"126";"148"
"Silvan Hefti";"2984";"126";"141"
"Dídac Vilà";"2985";"126";"140"
"Carlos Sierra";"2986";"126";"130"
"Stefano Vecchia";"2987";"126";"132"
"Brede Moe";"2988";"126";"130"
"Romain Thomas";"2989";"126";"132"
"Thomas Lehne Olsen";"2990";"126";"126"
"Kaoru Mitoma";"2991";"126";"135"
"Léo Coelho";"2992";"126";"126"
"Rubens Sambueza";"2993";"126";"137"
"Pep Chavarría";"2994";"126";"136"
"Sergio Barreto";"2995";"126";"136"
"Iván Sánchez";"2996";"126";"145"
"José Ángel Carmona";"2997";"126";"-85"
"Sebastián Ferreira";"2998";"126";"134"
"Mousa Dembélé";"2999";"126";"155"
"Jaouad El Yamiq";"3000";"126";"135"
"Adrián Gabbarini";"3001";"126";"135"
