"Name(ocultar)";"Futbolista_ID";"Corners";"Pases precisos";"Regate";"Finalizar";"Primer toque";"Lanzamiento de faltas";"Cabezazo";"Disparos a distancia";"Pases largos";"Marcaje";"Pases";"Lanzamiento de penalti";"Choque";"Tecnica";"Agresividad";"Anticipación";"Sacrificio";"Serenidad";"Concentración";"Visión";"Decisión";"Determinación";"Creatividad";"Liderazgo";"Juego sin balón";"Posición secundaria";"Trabajo en equipo";"Intensidad de trabajo";"Aceleración";"Agilidad";"Balance";"Salto vertical";"Estado físico";"Velocidad maxima en carrera";"Cardio";"Fuerza";"Estabilidad";"Faltas"
"Ştefan Radu";"2040";"4";"13";"8";"6";"12";"3";"15";"8";"4";"14";"12";"8";"14";"13";"20";"16";"18";"12";"11";"13";"13";"20";"10";"17";"13";"14";"15";"15";"12";"11";"13";"12";"18";"12";"13";"13";"13";"7"
"Bartłomiej Drągowski";"2041";"4";"2";"3";"1";"9";"6";"10";"3";"3";"2";"10";"3";"1";"9";"12";"13";"14";"10";"10";"8";"13";"15";"2";"12";"3";"13";"8";"11";"12";"12";"14";"17";"13";"11";"14";"13";"11";"5"
"Davidson";"2042";"10";"12";"14";"14";"14";"10";"8";"12";"3";"6";"14";"11";"9";"14";"12";"11";"13";"12";"12";"14";"12";"12";"13";"10";"14";"6";"11";"13";"14";"15";"14";"9";"13";"13";"10";"11";"12";"10"
"Enner Valencia";"2043";"7";"9";"14";"14";"12";"7";"14";"12";"3";"5";"12";"15";"7";"14";"17";"11";"15";"12";"17";"11";"10";"16";"16";"10";"14";"7";"12";"15";"14";"15";"12";"9";"16";"16";"11";"12";"16";"7"
"Ismaily";"2044";"11";"16";"17";"9";"14";"13";"11";"14";"10";"11";"13";"12";"13";"14";"11";"13";"11";"13";"12";"12";"13";"15";"13";"9";"15";"11";"15";"17";"13";"13";"14";"8";"15";"14";"12";"12";"18";"9"
"Pere Pons";"2045";"7";"9";"9";"7";"13";"10";"7";"12";"7";"11";"12";"10";"12";"11";"13";"14";"16";"14";"15";"12";"15";"14";"9";"10";"11";"15";"15";"16";"12";"12";"13";"8";"11";"13";"14";"11";"14";"9"
"Jean-Eudes Aholou";"2046";"6";"10";"12";"8";"13";"7";"13";"10";"8";"13";"13";"10";"14";"12";"14";"13";"15";"13";"12";"12";"12";"14";"8";"10";"12";"12";"14";"16";"13";"12";"14";"15";"15";"13";"16";"16";"11";"9"
"Mauricio Pereyra";"2047";"14";"14";"14";"9";"15";"14";"8";"13";"6";"10";"13";"13";"10";"15";"13";"15";"7";"13";"13";"15";"15";"14";"14";"13";"14";"10";"15";"13";"12";"14";"11";"7";"10";"11";"11";"7";"15";"11"
"Víctor Camarasa";"2048";"12";"10";"13";"11";"15";"13";"11";"14";"6";"11";"14";"10";"12";"14";"8";"13";"10";"12";"12";"13";"12";"14";"14";"12";"13";"11";"14";"13";"11";"13";"10";"11";"12";"12";"15";"14";"14";"8"
"Paul Onuachu";"2049";"4";"9";"11";"14";"13";"7";"14";"11";"6";"10";"12";"8";"7";"13";"15";"14";"16";"11";"14";"11";"13";"13";"14";"6";"14";"6";"14";"13";"9";"13";"17";"20";"14";"14";"13";"17";"15";"15"
"Matvey Safonov";"2050";"5";"3";"2";"1";"10";"7";"2";"2";"1";"2";"10";"5";"3";"9";"10";"13";"13";"15";"13";"12";"14";"11";"8";"13";"1";"13";"10";"10";"11";"13";"12";"16";"12";"12";"10";"15";"15";"12"
"Ezgjan Alioski";"2051";"11";"12";"13";"10";"13";"11";"10";"12";"3";"9";"11";"13";"12";"12";"18";"10";"17";"9";"12";"12";"8";"17";"17";"5";"13";"11";"13";"19";"13";"13";"12";"6";"19";"13";"18";"10";"13";"16"
"Bright Osayi-Samuel";"2052";"5";"7";"17";"10";"12";"9";"5";"6";"3";"14";"10";"11";"12";"13";"12";"7";"11";"11";"15";"11";"6";"15";"15";"2";"16";"11";"15";"17";"17";"15";"15";"8";"12";"17";"15";"13";"15";"13"
"Filipe Augusto";"2053";"12";"12";"13";"6";"12";"15";"11";"12";"10";"9";"16";"10";"14";"14";"14";"14";"13";"14";"12";"13";"13";"13";"13";"13";"12";"12";"14";"12";"11";"12";"14";"12";"14";"12";"13";"14";"15";"15"
"Casper Nielsen";"2054";"14";"12";"13";"10";"14";"12";"5";"12";"9";"9";"15";"12";"8";"13";"14";"14";"10";"13";"11";"15";"12";"8";"14";"14";"13";"8";"13";"15";"13";"12";"11";"11";"10";"11";"15";"11";"15";"5"
"Fabiano Souza";"2055";"8";"13";"11";"7";"11";"7";"10";"7";"12";"10";"10";"5";"14";"12";"14";"14";"13";"11";"13";"12";"11";"15";"9";"10";"12";"11";"13";"14";"16";"15";"12";"7";"16";"15";"14";"12";"12";"12"
"Andrei Girotto";"2056";"8";"10";"11";"10";"13";"11";"13";"12";"7";"14";"12";"10";"14";"12";"15";"13";"16";"13";"13";"11";"12";"14";"11";"12";"12";"13";"12";"13";"12";"13";"10";"13";"14";"12";"14";"13";"14";"15"
"Miguel Crespo";"2057";"8";"12";"14";"13";"11";"7";"11";"12";"3";"8";"14";"10";"14";"13";"17";"13";"16";"14";"11";"13";"11";"17";"11";"14";"13";"14";"15";"17";"12";"11";"13";"12";"14";"12";"17";"13";"17";"8"
"Juninho";"2058";"11";"11";"13";"10";"14";"11";"6";"10";"10";"12";"14";"9";"13";"13";"7";"12";"16";"13";"13";"13";"14";"6";"14";"18";"14";"13";"16";"16";"13";"14";"12";"6";"14";"13";"15";"11";"12";"5"
"Manu García";"2059";"11";"12";"14";"9";"16";"13";"6";"9";"6";"9";"15";"8";"9";"15";"11";"11";"11";"11";"12";"16";"13";"14";"17";"10";"15";"12";"12";"13";"13";"13";"13";"7";"14";"12";"11";"9";"12";"6"
"Marcelo";"2060";"7";"7";"6";"7";"10";"7";"17";"7";"7";"15";"12";"7";"14";"10";"12";"14";"17";"11";"13";"7";"11";"13";"6";"15";"10";"14";"14";"12";"9";"9";"15";"17";"13";"9";"15";"16";"13";"15"
"Mariano";"2061";"9";"14";"13";"8";"14";"11";"7";"12";"11";"13";"14";"8";"14";"13";"10";"14";"14";"16";"12";"14";"15";"14";"13";"11";"12";"13";"16";"13";"12";"12";"12";"10";"15";"11";"11";"10";"14";"7"
"Nuno Santos";"2062";"12";"12";"13";"11";"13";"10";"5";"11";"4";"6";"14";"9";"4";"15";"12";"13";"12";"11";"8";"14";"11";"10";"14";"10";"13";"9";"12";"15";"13";"13";"13";"9";"13";"14";"13";"10";"13";"5"
"Pedrinho";"2063";"12";"13";"15";"11";"16";"11";"5";"13";"5";"6";"13";"11";"5";"16";"8";"13";"9";"13";"12";"14";"11";"14";"16";"6";"14";"7";"13";"11";"15";"16";"9";"4";"12";"15";"11";"6";"10";"5"
"Pedro Henrique";"2064";"4";"7";"8";"7";"10";"6";"13";"7";"8";"14";"13";"7";"12";"11";"12";"13";"12";"13";"13";"11";"14";"13";"6";"14";"8";"14";"14";"12";"11";"9";"15";"16";"17";"13";"14";"17";"12";"7"
"Vitinho";"2065";"16";"15";"15";"12";"14";"12";"5";"13";"5";"5";"13";"12";"6";"15";"10";"10";"5";"11";"8";"15";"8";"10";"15";"10";"12";"7";"11";"11";"14";"15";"13";"10";"14";"14";"12";"13";"10";"2"
"André Almeida";"2066";"12";"14";"15";"10";"13";"12";"5";"14";"5";"7";"13";"12";"8";"14";"10";"12";"12";"13";"12";"14";"15";"14";"12";"8";"13";"11";"14";"11";"13";"13";"15";"6";"14";"13";"13";"10";"12";"5"
"Bernardo";"2067";"3";"3";"3";"5";"10";"4";"16";"5";"6";"13";"10";"5";"15";"12";"14";"14";"14";"13";"13";"11";"12";"12";"9";"12";"8";"13";"14";"14";"10";"11";"10";"16";"15";"12";"16";"17";"14";"10"
"Chiquinho";"2068";"10";"14";"16";"12";"14";"7";"8";"11";"8";"7";"11";"11";"11";"15";"15";"12";"12";"10";"9";"13";"10";"13";"16";"8";"13";"6";"8";"14";"16";"15";"11";"10";"14";"14";"12";"11";"10";"11"
"Daniel";"2069";"4";"2";"1";"3";"9";"7";"7";"3";"2";"2";"9";"3";"3";"9";"12";"13";"12";"10";"13";"8";"13";"13";"3";"10";"3";"12";"12";"8";"12";"14";"12";"14";"12";"12";"9";"13";"14";"8"
"Fernandinho";"2070";"8";"12";"14";"13";"13";"13";"7";"13";"9";"7";"12";"15";"5";"14";"9";"13";"12";"12";"13";"11";"13";"11";"15";"9";"15";"8";"14";"14";"15";"15";"10";"7";"12";"15";"15";"6";"12";"7"
"Jordan Morris";"2071";"8";"12";"12";"13";"11";"7";"12";"12";"7";"6";"11";"12";"4";"11";"12";"8";"12";"9";"12";"9";"10";"15";"11";"9";"12";"10";"14";"14";"15";"13";"13";"10";"12";"17";"15";"14";"12";"5"
"Milton Casco";"2072";"8";"13";"10";"8";"14";"7";"7";"7";"13";"11";"13";"9";"13";"13";"15";"12";"15";"10";"12";"11";"13";"17";"8";"10";"15";"11";"15";"16";"13";"13";"11";"7";"15";"13";"14";"9";"14";"16"
"Serhou Guirassy";"2073";"6";"9";"11";"14";"12";"10";"15";"11";"5";"5";"13";"13";"6";"12";"12";"13";"15";"11";"8";"11";"12";"13";"14";"6";"12";"6";"15";"14";"13";"12";"15";"15";"14";"15";"14";"15";"13";"5"
"Claudio Aquino";"2074";"14";"11";"14";"11";"14";"15";"7";"15";"6";"5";"13";"12";"7";"14";"13";"11";"12";"13";"10";"14";"10";"12";"14";"11";"15";"7";"13";"13";"15";"13";"15";"6";"12";"13";"13";"13";"8";"10"
"Thiago Heleno";"2075";"7";"8";"10";"9";"11";"11";"14";"12";"10";"13";"10";"11";"13";"11";"16";"13";"13";"13";"12";"8";"12";"12";"10";"13";"7";"15";"13";"11";"13";"12";"14";"15";"12";"12";"12";"15";"13";"14"
"Reggie Cannon";"2076";"5";"9";"12";"7";"11";"7";"12";"9";"6";"12";"11";"8";"13";"12";"12";"13";"14";"13";"11";"13";"11";"15";"8";"11";"10";"13";"11";"14";"15";"14";"13";"12";"15";"14";"15";"13";"14";"13"
"Óscar Melendo";"2077";"12";"13";"13";"8";"15";"10";"7";"9";"9";"5";"14";"11";"7";"14";"8";"14";"10";"12";"11";"15";"14";"14";"14";"11";"15";"9";"13";"11";"14";"14";"13";"7";"11";"14";"13";"8";"12";"8"
"Radja Nainggolan";"2078";"5";"11";"12";"13";"14";"11";"7";"16";"3";"11";"14";"10";"15";"14";"18";"14";"18";"13";"12";"14";"13";"20";"12";"16";"14";"11";"14";"16";"9";"12";"13";"9";"10";"11";"10";"14";"12";"13"
"Lucas Fernandes";"2079";"13";"13";"13";"10";"13";"11";"8";"14";"7";"7";"14";"12";"8";"16";"11";"12";"11";"13";"12";"14";"13";"12";"13";"10";"13";"7";"12";"13";"13";"13";"15";"12";"8";"13";"12";"8";"12";"7"
"Tolgay Arslan";"2080";"11";"13";"13";"7";"14";"11";"10";"11";"6";"12";"13";"11";"12";"14";"12";"13";"14";"14";"10";"14";"12";"14";"12";"9";"11";"13";"15";"14";"13";"14";"12";"10";"14";"12";"12";"12";"12";"12"
"Óscar Gil";"2081";"7";"10";"9";"9";"11";"7";"9";"8";"11";"14";"12";"8";"13";"10";"6";"10";"15";"9";"12";"7";"12";"15";"15";"10";"11";"12";"16";"18";"15";"14";"10";"10";"14";"15";"16";"14";"11";"2"
"Luciano Acosta";"2082";"14";"14";"15";"14";"15";"13";"7";"13";"4";"4";"16";"13";"4";"15";"10";"7";"12";"10";"12";"16";"13";"12";"15";"8";"14";"4";"13";"10";"15";"17";"9";"3";"14";"14";"11";"4";"11";"7"
"Pepe Reina";"2083";"3";"2";"2";"1";"10";"8";"6";"2";"2";"1";"13";"4";"3";"12";"10";"18";"13";"16";"10";"14";"12";"20";"7";"17";"3";"12";"14";"14";"8";"8";"12";"14";"20";"9";"13";"13";"12";"9"
"Paweł Dawidowicz";"2084";"6";"8";"10";"7";"11";"6";"14";"9";"7";"15";"11";"8";"15";"11";"15";"12";"14";"11";"12";"10";"12";"14";"8";"10";"5";"14";"14";"12";"11";"10";"13";"16";"14";"12";"13";"17";"13";"6"
"Vadis Odjidja-Ofoe";"2085";"12";"12";"15";"10";"14";"10";"7";"13";"8";"10";"15";"8";"12";"15";"12";"13";"14";"12";"11";"15";"11";"13";"14";"11";"12";"11";"13";"14";"9";"13";"17";"11";"8";"11";"13";"17";"12";"7"
"Facundo Quignón";"2086";"8";"12";"12";"9";"15";"7";"10";"10";"5";"11";"14";"8";"14";"16";"9";"13";"10";"11";"11";"16";"14";"12";"13";"10";"13";"14";"15";"10";"11";"11";"13";"9";"14";"12";"14";"12";"10";"10"
"Koray Günter";"2087";"4";"7";"8";"6";"11";"4";"14";"5";"7";"15";"11";"5";"16";"10";"14";"12";"16";"11";"12";"9";"12";"13";"7";"14";"5";"14";"15";"13";"12";"12";"13";"13";"14";"11";"14";"15";"13";"14"
"Dimitris Nikolaou";"2088";"6";"7";"7";"7";"10";"6";"13";"8";"9";"14";"11";"9";"15";"11";"15";"14";"15";"12";"15";"6";"14";"14";"7";"13";"7";"14";"13";"13";"12";"12";"14";"15";"13";"12";"15";"14";"13";"11"
"Kellyn Acosta";"2089";"13";"10";"11";"9";"11";"13";"10";"14";"11";"12";"14";"6";"12";"12";"11";"11";"9";"11";"12";"13";"12";"9";"8";"8";"11";"11";"15";"14";"14";"13";"14";"10";"11";"14";"15";"9";"12";"4"
"Nicolò Fagioli";"2090";"12";"13";"14";"8";"15";"12";"9";"11";"7";"10";"14";"13";"12";"14";"15";"14";"14";"12";"14";"15";"12";"15";"15";"10";"12";"12";"13";"12";"13";"16";"12";"9";"15";"12";"13";"11";"13";"7"
"Stefan Ortega";"2091";"3";"1";"2";"3";"11";"6";"7";"1";"1";"2";"12";"2";"1";"11";"10";"12";"12";"12";"12";"11";"12";"14";"5";"13";"5";"11";"12";"13";"11";"12";"13";"14";"14";"9";"12";"13";"16";"4"
"Omar Fernández";"2092";"15";"15";"16";"11";"15";"12";"4";"12";"10";"6";"17";"9";"7";"14";"9";"14";"8";"11";"12";"16";"14";"12";"15";"8";"14";"8";"12";"11";"14";"13";"7";"3";"9";"15";"10";"4";"14";"6"
"Petar Musa";"2093";"6";"6";"9";"14";"13";"4";"14";"12";"7";"7";"12";"13";"6";"11";"15";"13";"16";"13";"14";"13";"12";"14";"12";"7";"13";"7";"14";"13";"13";"11";"16";"15";"12";"14";"14";"15";"13";"9"
"Luigi Sepe";"2094";"1";"3";"3";"1";"10";"3";"8";"1";"2";"1";"11";"3";"1";"9";"13";"13";"12";"13";"14";"11";"12";"13";"4";"10";"2";"14";"12";"12";"13";"13";"14";"14";"12";"12";"14";"12";"14";"8"
"Abdellah Zoubir";"2095";"12";"13";"15";"11";"15";"11";"8";"12";"6";"5";"13";"11";"6";"15";"7";"11";"8";"13";"8";"14";"9";"9";"14";"9";"13";"6";"10";"13";"14";"15";"13";"11";"14";"15";"14";"11";"7";"10"
"Philipp Köhn";"2096";"2";"5";"4";"2";"10";"2";"6";"7";"8";"5";"11";"5";"6";"8";"11";"11";"13";"13";"12";"10";"11";"13";"4";"9";"3";"14";"14";"12";"12";"13";"13";"14";"15";"12";"14";"13";"13";"7"
"Nadiem Amiri";"2097";"15";"15";"13";"11";"12";"14";"5";"13";"7";"9";"13";"12";"11";"14";"15";"13";"13";"12";"11";"14";"11";"15";"14";"12";"13";"11";"17";"15";"12";"13";"13";"9";"16";"12";"14";"11";"11";"10"
"David Pavelka";"2098";"9";"10";"12";"9";"13";"10";"12";"13";"7";"12";"14";"13";"14";"13";"14";"11";"16";"15";"16";"13";"14";"12";"10";"13";"12";"13";"16";"15";"11";"12";"14";"12";"16";"11";"15";"11";"16";"14"
"Jordan Torunarigha";"2099";"4";"10";"13";"7";"12";"5";"16";"8";"13";"12";"13";"8";"16";"13";"16";"12";"17";"13";"10";"13";"10";"15";"13";"9";"11";"11";"11";"12";"14";"12";"15";"16";"14";"14";"13";"15";"10";"9"
"Adam Hložek";"2100";"6";"8";"13";"14";"13";"7";"12";"12";"7";"7";"9";"14";"7";"12";"13";"11";"11";"13";"12";"11";"10";"12";"17";"7";"11";"3";"9";"11";"16";"14";"14";"12";"12";"16";"12";"12";"13";"11"
"Jimmy Cabot";"2101";"13";"12";"14";"10";"13";"10";"5";"10";"4";"11";"13";"10";"10";"14";"7";"12";"11";"12";"11";"12";"11";"15";"15";"8";"13";"10";"11";"13";"14";"15";"8";"2";"14";"14";"15";"6";"12";"7"
"Sebastián Blanco";"2102";"11";"13";"14";"13";"14";"11";"4";"13";"4";"9";"12";"13";"9";"14";"15";"10";"11";"11";"10";"13";"10";"16";"14";"12";"13";"12";"13";"16";"13";"15";"12";"4";"16";"13";"13";"9";"12";"13"
"Benno Schmitz";"2103";"12";"14";"11";"7";"11";"10";"9";"10";"14";"12";"14";"9";"13";"12";"11";"14";"12";"13";"12";"12";"13";"12";"6";"8";"12";"12";"16";"14";"12";"11";"13";"10";"16";"12";"14";"12";"14";"7"
"Heinz Lindner";"2104";"5";"2";"2";"2";"6";"10";"8";"2";"1";"1";"7";"3";"1";"6";"6";"14";"13";"10";"15";"6";"14";"12";"1";"12";"2";"13";"15";"10";"9";"14";"13";"14";"16";"9";"10";"12";"14";"4"
"Daniel James";"2105";"4";"11";"13";"7";"11";"4";"5";"8";"2";"5";"8";"10";"6";"11";"14";"10";"16";"6";"9";"7";"5";"15";"12";"4";"12";"6";"16";"18";"19";"16";"12";"6";"15";"19";"16";"5";"9";"12"
"Robert Glatzel";"2106";"4";"6";"11";"15";"13";"7";"17";"9";"6";"6";"11";"11";"6";"12";"12";"13";"15";"13";"13";"11";"12";"17";"12";"11";"14";"7";"12";"14";"11";"11";"13";"17";"12";"13";"14";"14";"15";"4"
"Marco van Ginkel";"2107";"8";"11";"12";"9";"13";"9";"13";"13";"8";"10";"15";"8";"8";"15";"12";"14";"11";"13";"14";"14";"13";"17";"11";"13";"14";"11";"15";"16";"12";"12";"13";"13";"15";"12";"12";"12";"16";"12"
"Gianluca Lapadula";"2108";"8";"9";"12";"15";"12";"10";"12";"10";"9";"9";"11";"15";"10";"12";"14";"14";"18";"14";"14";"10";"13";"18";"14";"12";"16";"8";"13";"18";"13";"13";"14";"9";"15";"13";"13";"12";"14";"8"
"Stephy Mavididi";"2109";"4";"7";"14";"14";"12";"4";"14";"11";"1";"3";"11";"9";"5";"13";"12";"13";"12";"13";"12";"10";"12";"13";"9";"5";"14";"8";"13";"14";"15";"12";"14";"14";"13";"15";"15";"14";"13";"6"
"Wesley Hoedt";"2110";"7";"9";"10";"12";"12";"12";"16";"11";"6";"14";"13";"8";"16";"13";"15";"13";"13";"14";"9";"14";"10";"12";"13";"15";"9";"14";"18";"18";"10";"11";"15";"16";"16";"11";"13";"15";"10";"11"
"Josh Dasilva";"2111";"8";"12";"13";"13";"13";"9";"10";"14";"8";"11";"14";"10";"12";"13";"12";"14";"11";"14";"13";"13";"13";"15";"14";"9";"13";"11";"14";"13";"13";"12";"12";"11";"14";"13";"13";"13";"14";"8"
"Boško Šutalo";"2112";"7";"9";"11";"6";"12";"6";"13";"6";"11";"14";"12";"7";"14";"13";"15";"13";"15";"13";"14";"11";"11";"16";"9";"9";"9";"13";"12";"16";"13";"11";"13";"14";"15";"14";"13";"14";"13";"11"
"Pione Sisto";"2113";"13";"14";"15";"11";"15";"13";"7";"14";"3";"5";"13";"11";"7";"16";"11";"13";"7";"10";"7";"11";"10";"6";"16";"6";"14";"5";"8";"11";"15";"14";"14";"7";"14";"14";"11";"9";"8";"3"
"Giovanni González";"2114";"7";"12";"12";"13";"11";"11";"9";"10";"13";"12";"11";"6";"11";"12";"13";"11";"12";"10";"12";"10";"12";"12";"11";"13";"15";"11";"13";"16";"15";"14";"9";"8";"15";"13";"14";"10";"13";"11"
"Federico Fernández";"2115";"5";"6";"8";"7";"11";"4";"15";"5";"8";"14";"11";"5";"15";"9";"11";"14";"15";"14";"12";"10";"14";"11";"10";"10";"10";"15";"15";"15";"10";"9";"13";"15";"13";"11";"13";"15";"14";"12"
"Leonardo Gil";"2116";"14";"13";"11";"9";"13";"15";"8";"13";"8";"13";"14";"9";"14";"12";"14";"14";"16";"11";"10";"13";"12";"13";"11";"10";"11";"11";"15";"15";"13";"15";"13";"8";"16";"12";"14";"12";"13";"10"
"Fernando Zampedri";"2117";"6";"8";"11";"16";"12";"7";"14";"11";"7";"5";"12";"16";"6";"13";"16";"13";"13";"14";"13";"9";"13";"14";"12";"8";"15";"8";"12";"14";"11";"11";"13";"14";"13";"12";"13";"16";"15";"15"
"Fernando Calero";"2118";"7";"6";"5";"5";"14";"9";"13";"11";"10";"14";"13";"9";"14";"13";"10";"14";"14";"12";"12";"13";"12";"12";"11";"12";"10";"14";"15";"14";"13";"12";"12";"11";"11";"14";"13";"13";"13";"7"
"Jonas Martin";"2119";"10";"12";"14";"12";"14";"12";"11";"13";"11";"13";"14";"13";"12";"15";"15";"13";"13";"12";"12";"13";"14";"14";"12";"13";"12";"13";"13";"15";"13";"13";"14";"10";"11";"12";"14";"14";"13";"7"
"Felipe Mora";"2120";"9";"10";"11";"14";"13";"9";"14";"9";"5";"6";"12";"13";"7";"12";"11";"14";"13";"12";"13";"12";"12";"14";"11";"8";"14";"6";"12";"13";"13";"13";"13";"11";"16";"13";"15";"13";"12";"5"
"Miguel Borja";"2121";"7";"9";"13";"14";"12";"11";"15";"10";"7";"7";"12";"14";"7";"13";"9";"14";"13";"12";"11";"11";"12";"13";"11";"11";"14";"9";"13";"9";"12";"13";"14";"12";"13";"12";"14";"15";"11";"13"
"Rodrigo Rey";"2122";"5";"3";"3";"2";"11";"6";"1";"3";"1";"2";"11";"2";"3";"10";"5";"12";"11";"13";"14";"10";"13";"14";"2";"13";"1";"13";"12";"11";"11";"14";"10";"15";"12";"11";"12";"13";"14";"12"
"Emmanuel Gigliotti";"2123";"7";"10";"7";"14";"15";"7";"16";"11";"5";"5";"12";"14";"6";"13";"14";"13";"15";"16";"14";"13";"14";"15";"12";"14";"15";"9";"14";"14";"11";"11";"16";"16";"14";"12";"11";"15";"12";"10"
"Selim Amallah";"2124";"11";"11";"13";"10";"13";"12";"5";"13";"11";"10";"13";"8";"13";"14";"11";"13";"13";"14";"14";"13";"14";"12";"12";"11";"15";"8";"14";"12";"14";"12";"7";"5";"13";"13";"14";"7";"12";"8"
"Tete Morente";"2125";"8";"13";"15";"13";"12";"13";"11";"13";"6";"8";"12";"11";"5";"14";"12";"11";"6";"11";"9";"12";"11";"13";"12";"7";"12";"9";"3";"14";"14";"13";"9";"11";"15";"15";"13";"11";"13";"4"
"Dénes Dibusz";"2126";"2";"1";"2";"3";"8";"4";"2";"1";"3";"3";"8";"3";"3";"7";"10";"13";"14";"13";"13";"5";"12";"13";"2";"10";"2";"14";"8";"8";"13";"14";"12";"12";"12";"14";"11";"12";"16";"11"
"Léo Baptistão";"2127";"9";"12";"15";"12";"14";"11";"10";"12";"5";"5";"14";"12";"5";"15";"10";"13";"9";"12";"12";"14";"12";"14";"16";"9";"14";"5";"10";"9";"13";"13";"10";"12";"10";"13";"11";"10";"10";"8"
"Emil Krafth";"2128";"8";"13";"11";"7";"11";"9";"12";"10";"10";"12";"12";"7";"13";"13";"11";"13";"13";"12";"12";"14";"12";"13";"8";"8";"12";"13";"13";"14";"14";"13";"15";"12";"12";"15";"14";"13";"13";"8"
"Marcelino Moreno";"2129";"12";"12";"15";"10";"13";"9";"8";"14";"9";"7";"13";"8";"9";"14";"12";"11";"12";"13";"14";"13";"12";"13";"15";"8";"13";"12";"13";"15";"13";"14";"13";"6";"14";"15";"14";"10";"11";"8"
"Tomás Pina";"2130";"7";"8";"11";"8";"13";"9";"12";"11";"8";"12";"13";"9";"14";"13";"17";"14";"16";"13";"15";"12";"13";"16";"9";"13";"10";"15";"16";"16";"10";"11";"9";"11";"12";"11";"14";"13";"16";"11"
"Stefan Posch";"2131";"5";"9";"9";"6";"11";"5";"13";"6";"10";"13";"11";"9";"14";"11";"8";"13";"14";"16";"12";"9";"13";"12";"5";"10";"6";"12";"16";"10";"13";"13";"12";"16";"14";"14";"14";"12";"14";"11"
"Lassana Coulibaly";"2132";"7";"8";"15";"8";"12";"7";"13";"8";"6";"11";"12";"8";"16";"9";"15";"15";"16";"11";"12";"11";"12";"10";"6";"8";"15";"14";"15";"16";"15";"13";"16";"12";"14";"13";"17";"15";"13";"8"
"Fransérgio";"2133";"8";"8";"13";"11";"13";"10";"14";"13";"6";"11";"14";"13";"11";"14";"16";"12";"11";"15";"14";"13";"12";"14";"13";"15";"16";"14";"13";"13";"9";"13";"15";"13";"12";"10";"15";"14";"13";"14"
"Leonel Miranda";"2134";"13";"12";"13";"11";"14";"11";"7";"12";"4";"9";"14";"11";"10";"13";"12";"13";"8";"15";"13";"14";"13";"12";"12";"12";"13";"13";"14";"14";"13";"14";"11";"6";"13";"13";"13";"9";"13";"7"
"Jaume Costa";"2135";"12";"14";"11";"7";"12";"8";"7";"10";"13";"13";"12";"6";"14";"12";"15";"14";"15";"12";"13";"11";"13";"15";"11";"6";"14";"13";"16";"16";"12";"14";"15";"6";"14";"12";"15";"10";"13";"13"
"Morten Thorsby";"2136";"4";"6";"10";"10";"11";"4";"16";"6";"4";"13";"11";"10";"15";"11";"15";"12";"15";"15";"15";"12";"12";"20";"9";"11";"13";"15";"18";"16";"12";"10";"12";"16";"16";"12";"19";"16";"10";"12"
"Nahuel Tenaglia";"2137";"8";"11";"11";"9";"12";"6";"12";"7";"15";"15";"15";"9";"15";"11";"15";"13";"14";"12";"12";"13";"13";"11";"7";"10";"14";"14";"13";"14";"14";"13";"13";"10";"13";"14";"12";"12";"12";"8"
"Nathan Patterson";"2138";"12";"13";"11";"11";"12";"6";"8";"11";"10";"10";"12";"5";"13";"9";"9";"12";"10";"13";"14";"14";"7";"15";"7";"4";"13";"12";"13";"13";"15";"11";"12";"11";"14";"15";"17";"12";"11";"13"
"Martin Ellingsen";"2139";"13";"14";"11";"9";"14";"11";"9";"13";"6";"12";"15";"13";"12";"14";"10";"15";"10";"16";"14";"14";"14";"14";"10";"12";"12";"12";"13";"11";"9";"11";"12";"10";"13";"10";"14";"12";"14";"10"
"Jesé";"2140";"13";"9";"15";"13";"15";"12";"8";"13";"5";"4";"13";"14";"6";"16";"14";"13";"12";"12";"8";"14";"9";"11";"15";"12";"14";"6";"10";"11";"13";"13";"12";"9";"9";"13";"13";"11";"8";"10"
"Moi Elyounoussi";"2141";"11";"12";"13";"13";"15";"12";"10";"12";"5";"7";"13";"9";"10";"14";"11";"13";"11";"13";"10";"13";"12";"14";"13";"11";"15";"8";"13";"13";"12";"15";"11";"7";"13";"11";"14";"8";"13";"10"
"Dorlan Pabón";"2142";"13";"13";"14";"13";"13";"14";"10";"14";"7";"6";"13";"12";"6";"13";"7";"13";"12";"12";"13";"14";"13";"15";"13";"12";"14";"9";"12";"11";"13";"13";"12";"7";"13";"12";"12";"8";"12";"6"
"Reo Hatate";"2143";"11";"12";"11";"11";"14";"11";"9";"12";"6";"7";"14";"10";"12";"12";"14";"13";"9";"11";"12";"14";"12";"7";"11";"10";"14";"12";"15";"17";"14";"13";"14";"6";"10";"13";"14";"12";"13";"10"
"Kristoffer Zachariassen";"2144";"10";"10";"11";"13";"13";"9";"10";"11";"3";"10";"12";"8";"12";"13";"13";"15";"15";"13";"12";"12";"14";"14";"12";"9";"15";"12";"15";"17";"12";"12";"12";"9";"17";"12";"18";"10";"14";"9"
"Rodrigo Moledo";"2145";"4";"8";"8";"8";"9";"6";"15";"8";"9";"15";"12";"9";"15";"10";"18";"14";"18";"11";"13";"8";"13";"16";"7";"13";"10";"14";"14";"15";"10";"10";"14";"15";"12";"10";"11";"15";"14";"15"
