"Name(ocultar)";"Futbolista_ID";"Alcance aéreo";"Liderazgo en el área";"Comunicación";"Exentricidad";"Manejo de balón";"Despeje de balón";"1 vs 1";"Reflejos";"Salir a por el balón ";"Puños de portero";"Lanzamientos de portero"
"Nico López";"1145";"2";"1";"2";"2";"2";"3";"2";"1";"1";"2";"3"
"Cole Palmer";"1146";"2";"1";"1";"3";"1";"1";"1";"3";"2";"3";"3"
"Sven Botman";"1147";"1";"2";"3";"2";"4";"1";"3";"3";"3";"3";"3"
"İrfan Can Kahveci";"1148";"3";"2";"2";"2";"3";"1";"3";"1";"3";"4";"3"
"Konstantinos Mavropanos";"1149";"3";"3";"1";"2";"3";"2";"3";"2";"2";"1";"2"
"Lucas Alario";"1150";"1";"3";"3";"1";"4";"2";"3";"2";"3";"3";"2"
"Karl Toko Ekambi";"1151";"2";"2";"3";"1";"3";"1";"1";"3";"1";"3";"3"
"Daniel Podence";"1152";"1";"2";"3";"1";"3";"1";"1";"2";"3";"3";"1"
"Darío Benedetto";"1153";"3";"2";"2";"2";"1";"4";"1";"1";"1";"2";"3"
"Dante";"1154";"4";"2";"2";"3";"4";"2";"1";"1";"3";"2";"2"
"Romain Saïss";"1155";"1";"3";"3";"1";"2";"2";"1";"2";"3";"2";"2"
"Rochinha";"1156";"2";"3";"3";"2";"4";"4";"2";"1";"3";"3";"3"
"Nicolás Ibáñez";"1157";"1";"3";"3";"1";"1";"1";"2";"2";"3";"2";"3"
"Rúben Semedo";"1158";"3";"3";"4";"2";"3";"3";"3";"1";"1";"1";"2"
"Salvatore Sirigu";"1159";"14";"14";"15";"5";"14";"12";"13";"15";"13";"13";"13"
"Niklas Stark";"1160";"3";"3";"1";"2";"1";"3";"2";"1";"4";"2";"4"
"Patrick Wimmer";"1161";"2";"3";"2";"1";"2";"2";"2";"2";"1";"3";"3"
"Nicolás Lodeiro";"1162";"2";"2";"3";"2";"3";"1";"1";"3";"4";"1";"3"
"Andoni Gorosabel";"1163";"3";"3";"3";"3";"1";"2";"3";"3";"3";"3";"3"
"Stefan Medina";"1164";"2";"1";"3";"3";"1";"3";"3";"2";"3";"4";"4"
"Aleix Vidal";"1165";"2";"1";"2";"3";"3";"1";"1";"3";"1";"3";"1"
"Gedson Fernandes";"1166";"2";"2";"3";"3";"1";"3";"2";"2";"4";"3";"1"
"Julian Baumgartlinger";"1167";"1";"2";"3";"3";"2";"3";"2";"1";"2";"1";"1"
"Harry Wilson";"1168";"3";"1";"2";"1";"3";"2";"3";"2";"3";"1";"1"
"Haris Seferovic";"1169";"2";"2";"1";"3";"1";"2";"3";"3";"3";"2";"1"
"Pablo Maffeo";"1170";"1";"1";"2";"1";"3";"1";"2";"1";"2";"1";"4"
"Manor Solomon";"1171";"2";"3";"3";"4";"3";"1";"2";"2";"3";"3";"1"
"Nicolás Capaldo";"1172";"4";"1";"1";"2";"3";"1";"1";"2";"3";"1";"1"
"Pep Biel";"1173";"3";"4";"3";"3";"4";"2";"3";"3";"3";"3";"1"
"Damián Suárez";"1174";"3";"3";"2";"2";"3";"1";"2";"3";"3";"2";"4"
"Josh Brownhill";"1175";"2";"1";"2";"1";"2";"1";"3";"4";"3";"3";"3"
"Walter Kannemann";"1176";"3";"2";"2";"1";"3";"1";"4";"1";"1";"3";"3"
"Ludovic Ajorque";"1177";"2";"4";"1";"2";"4";"3";"1";"1";"3";"3";"3"
"Franco Cervi";"1178";"3";"1";"3";"3";"1";"3";"3";"2";"2";"3";"3"
"Rúben Vezo";"1179";"1";"1";"1";"3";"1";"3";"3";"3";"2";"3";"3"
"Leonardo Sigali";"1180";"1";"3";"3";"3";"3";"3";"1";"1";"2";"1";"1"
"David Luiz";"1181";"4";"4";"4";"1";"2";"3";"3";"1";"2";"2";"1"
"Musa Barrow";"1182";"3";"4";"2";"1";"2";"1";"1";"2";"2";"3";"2"
"Thiago Almada";"1183";"1";"2";"3";"1";"4";"1";"1";"1";"4";"2";"1"
"Ben Brereton Díaz";"1184";"1";"3";"2";"2";"3";"2";"1";"2";"1";"2";"3"
"Joe Rodon";"1185";"2";"3";"1";"1";"2";"1";"2";"3";"1";"3";"3"
"Matheus Pereira";"1186";"2";"2";"1";"3";"1";"1";"2";"2";"1";"4";"1"
"Ante Budimir";"1187";"2";"3";"2";"1";"3";"3";"1";"1";"3";"4";"2"
"Fernando Muslera";"1188";"12";"10";"14";"7";"16";"11";"15";"15";"14";"4";"14"
"Joe Willock";"1189";"3";"2";"4";"2";"3";"3";"3";"3";"2";"1";"2"
"Lucas Leiva";"1190";"3";"2";"1";"1";"2";"3";"1";"1";"1";"4";"2"
"Thilo Kehrer";"1191";"3";"2";"2";"2";"1";"2";"2";"1";"3";"3";"3"
"Marcos Rojo";"1192";"2";"4";"4";"2";"2";"1";"3";"3";"3";"2";"1"
"Akram Afif";"1193";"1";"1";"2";"3";"2";"2";"1";"3";"1";"1";"1"
"Carlos Fernández";"1194";"1";"1";"2";"3";"1";"3";"1";"3";"3";"3";"2"
"Mattias Svanberg";"1195";"3";"3";"3";"3";"4";"2";"4";"1";"3";"3";"3"
"Fayçal Fajr";"1196";"4";"2";"1";"2";"2";"1";"4";"1";"2";"3";"4"
"Burak Yılmaz";"1197";"1";"1";"2";"1";"1";"4";"3";"1";"3";"1";"1"
"Marash Kumbulla";"1198";"1";"2";"2";"2";"2";"3";"2";"1";"1";"4";"2"
"Victor Nelsson";"1199";"3";"2";"2";"3";"2";"3";"3";"3";"3";"4";"3"
"Nicolas Höfler";"1200";"2";"2";"1";"2";"3";"2";"3";"1";"1";"3";"1"
"Japhet Tanganga";"1201";"3";"4";"4";"1";"1";"3";"3";"1";"1";"3";"2"
"Santi Comesaña";"1202";"1";"3";"3";"2";"3";"3";"2";"1";"2";"1";"1"
"Vitaly Janelt";"1203";"1";"1";"1";"2";"1";"1";"2";"3";"3";"1";"2"
"Jason Denayer";"1204";"3";"2";"1";"2";"2";"2";"2";"1";"3";"4";"2"
"Matt Turner";"1205";"14";"15";"13";"10";"15";"12";"14";"15";"7";"6";"10"
"Lucas Boyé";"1206";"2";"3";"1";"3";"1";"3";"1";"3";"2";"3";"2"
"Rubén Peña";"1207";"2";"2";"3";"1";"1";"1";"2";"2";"1";"1";"3"
"Juan Dinenno";"1208";"2";"2";"2";"3";"3";"3";"2";"2";"1";"2";"3"
"Martín Campaña";"1209";"12";"12";"14";"15";"14";"13";"14";"16";"12";"11";"14"
"Sandro";"1210";"2";"1";"1";"1";"3";"1";"3";"2";"1";"1";"2"
"Fidel Chaves";"1211";"3";"3";"1";"2";"3";"1";"2";"3";"2";"1";"3"
"Carles Gil";"1212";"2";"2";"2";"2";"2";"2";"1";"3";"1";"2";"3"
"Moses Simon";"1213";"2";"2";"3";"1";"4";"3";"1";"1";"1";"3";"1"
"Jens Petter Hauge";"1214";"3";"2";"3";"1";"1";"4";"1";"1";"1";"1";"2"
"Timo Baumgartl";"1215";"4";"3";"3";"1";"3";"2";"1";"2";"3";"2";"1"
"Cristian Álvarez";"1216";"11";"13";"13";"12";"12";"14";"13";"16";"13";"14";"12"
"Marcos Senesi";"1217";"1";"3";"2";"1";"3";"2";"2";"1";"1";"3";"2"
"Ivan Ilić";"1218";"3";"1";"3";"2";"2";"1";"3";"2";"3";"1";"2"
"Pavel Kadeřábek";"1219";"1";"3";"1";"2";"2";"3";"2";"2";"3";"2";"1"
"Mateo Musacchio";"1220";"2";"2";"3";"4";"2";"2";"3";"1";"2";"1";"1"
"Dennis Geiger";"1221";"4";"2";"3";"2";"1";"3";"1";"2";"1";"2";"1"
"Lars Stindl";"1222";"2";"2";"3";"3";"2";"1";"4";"3";"2";"2";"1"
"Dodi Lukébakio";"1223";"1";"1";"3";"1";"1";"2";"1";"2";"3";"3";"3"
"Germán Berterame";"1224";"3";"3";"3";"3";"2";"1";"3";"2";"2";"1";"1"
"Germán Cano";"1225";"2";"1";"3";"4";"4";"1";"2";"2";"1";"3";"1"
"Wout Faes";"1226";"1";"2";"1";"2";"2";"3";"3";"1";"4";"1";"2"
"Duje Ćaleta-Car";"1227";"1";"3";"3";"2";"4";"3";"2";"3";"1";"3";"1"
"Omar Abdulrahman";"1228";"1";"3";"1";"2";"1";"3";"2";"3";"3";"2";"3"
"Gabriel Arias";"1229";"13";"14";"14";"8";"14";"11";"16";"16";"12";"12";"11"
"Igor Akinfeev";"1230";"8";"10";"18";"3";"13";"15";"14";"14";"8";"17";"14"
"Rubén Blanco";"1231";"13";"10";"14";"7";"14";"12";"14";"16";"14";"13";"11"
"Fernando";"1232";"2";"3";"1";"2";"2";"3";"3";"3";"1";"2";"1"
"João Pedro";"1233";"2";"3";"1";"2";"1";"2";"2";"1";"2";"4";"3"
"Joaquín";"1234";"2";"1";"1";"2";"1";"1";"2";"2";"1";"4";"3"
"Lincoln";"1235";"2";"1";"2";"2";"2";"1";"3";"1";"4";"1";"4"
"Marlon";"1236";"3";"3";"3";"3";"1";"3";"2";"3";"1";"2";"3"
"Paulinho";"1237";"3";"3";"3";"1";"3";"4";"3";"2";"3";"2";"1"
"Bruno Henrique";"1238";"3";"3";"1";"2";"1";"1";"4";"1";"1";"1";"1"
"Danilo";"1239";"1";"1";"4";"1";"1";"3";"1";"3";"3";"2";"1"
"Frederik Rønnow";"1240";"14";"11";"13";"4";"13";"14";"14";"15";"14";"13";"14"
"Loren";"1241";"2";"2";"3";"2";"2";"3";"2";"3";"2";"3";"2"
"Luis Milla";"1242";"1";"1";"1";"1";"1";"2";"2";"1";"1";"2";"2"
"Adrien Silva";"1243";"1";"3";"1";"2";"2";"1";"2";"1";"3";"2";"3"
"Kevin Mbabu";"1244";"2";"3";"2";"1";"2";"1";"2";"1";"3";"2";"2"
"Gian Marco Ferrari";"1245";"3";"1";"1";"2";"2";"3";"1";"2";"3";"1";"2"
"Tadeu";"1246";"11";"11";"11";"5";"12";"14";"14";"15";"11";"16";"15"
"Jannik Vestergaard";"1247";"3";"1";"2";"3";"2";"2";"1";"2";"3";"1";"1"
"Jesús Vallejo";"1248";"2";"3";"1";"1";"3";"1";"2";"1";"2";"2";"3"
"Íñigo Lekue";"1249";"2";"2";"1";"3";"2";"4";"3";"3";"4";"3";"1"
"Jacob Ramsey";"1250";"2";"4";"1";"1";"1";"1";"3";"3";"2";"3";"1"
"Andreas Skov Olsen";"1251";"3";"4";"2";"2";"2";"1";"3";"2";"3";"3";"3"
"David Terans";"1252";"2";"2";"2";"2";"1";"1";"2";"1";"3";"1";"1"
"Jordan Ferri";"1253";"1";"1";"1";"3";"4";"4";"2";"3";"2";"1";"2"
"Alfred Duncan";"1254";"4";"2";"3";"2";"2";"2";"3";"2";"3";"3";"2"
"Cristian Tello";"1255";"2";"1";"3";"1";"2";"2";"4";"2";"3";"3";"1"
"Jony";"1256";"3";"3";"2";"3";"3";"1";"2";"3";"2";"1";"2"
"Paulo Otávio";"1257";"1";"1";"2";"1";"3";"3";"2";"3";"2";"2";"2"
"Saphir Taïder";"1258";"1";"3";"2";"3";"3";"3";"2";"1";"3";"3";"3"
"Thomas Meunier";"1259";"1";"3";"2";"1";"3";"1";"1";"2";"1";"3";"1"
"Samir";"1260";"2";"3";"4";"2";"3";"2";"3";"3";"2";"1";"1"
"Manolo Gabbiadini";"1261";"4";"2";"3";"1";"1";"1";"2";"1";"1";"2";"3"
"Daniele Rugani";"1262";"1";"1";"2";"3";"1";"2";"1";"3";"1";"3";"2"
"Radamel Falcao";"1263";"1";"3";"1";"1";"2";"2";"3";"2";"1";"2";"4"
"Mário Fernandes";"1264";"2";"3";"1";"1";"1";"4";"3";"3";"1";"2";"1"
"Ben Godfrey";"1265";"2";"1";"1";"4";"1";"2";"3";"1";"3";"2";"1"
"Abderrazak Hamedallah";"1266";"3";"4";"1";"1";"2";"2";"3";"2";"2";"1";"2"
"Roberto Soriano";"1267";"1";"2";"1";"1";"3";"3";"3";"1";"3";"2";"2"
"Enes Ünal";"1268";"3";"2";"2";"2";"3";"1";"3";"4";"2";"3";"4"
"Nedim Bajrami";"1269";"2";"1";"3";"3";"1";"1";"3";"2";"1";"1";"3"
"Mërgim Vojvoda";"1270";"3";"3";"2";"3";"1";"3";"1";"2";"1";"3";"3"
"João Victor";"1271";"1";"3";"2";"3";"2";"1";"4";"1";"2";"3";"2"
"Kevin Akpoguma";"1272";"2";"1";"2";"2";"3";"2";"2";"1";"2";"1";"1"
"Jhon Córdoba";"1273";"2";"1";"2";"2";"2";"2";"3";"3";"1";"2";"4"
"Ryan Fraser";"1274";"2";"3";"3";"2";"2";"1";"1";"1";"3";"3";"3"
"Munas Dabbur";"1275";"1";"1";"1";"1";"1";"2";"1";"2";"2";"2";"4"
"Luca Waldschmidt";"1276";"2";"3";"2";"4";"2";"3";"1";"1";"1";"1";"1"
"Sofiane Boufal";"1277";"3";"2";"2";"1";"3";"3";"2";"2";"3";"1";"2"
"Edgar";"1278";"2";"1";"2";"1";"2";"1";"2";"2";"2";"2";"2"
"Rogelio Funes Mori";"1279";"2";"2";"3";"2";"1";"3";"2";"2";"1";"2";"3"
"Christopher Lenz";"1280";"3";"2";"2";"1";"2";"3";"1";"2";"1";"2";"2"
"Robin Olsen";"1281";"17";"13";"11";"6";"14";"12";"13";"15";"11";"9";"13"
"Sebastián Vegas";"1282";"2";"1";"1";"3";"3";"2";"3";"1";"2";"1";"3"
"Benjamin Henrichs";"1283";"1";"3";"3";"3";"3";"3";"3";"1";"1";"2";"3"
"Danny Welbeck";"1284";"2";"1";"3";"2";"2";"4";"4";"3";"1";"1";"1"
"Luis Quiñones";"1285";"2";"2";"2";"2";"4";"2";"1";"1";"1";"3";"1"
"Manu Morlanes";"1286";"3";"2";"2";"3";"1";"3";"2";"3";"2";"2";"1"
"Léo Dubois";"1287";"2";"1";"1";"2";"3";"3";"3";"1";"3";"2";"4"
"Leo Østigård";"1288";"2";"3";"1";"3";"1";"2";"1";"3";"2";"1";"2"
"Felix Uduokhai";"1289";"2";"2";"1";"3";"3";"2";"3";"3";"1";"1";"2"
"Sofiane Diop";"1290";"3";"3";"3";"1";"2";"2";"2";"1";"3";"3";"2"
"Robin Koch";"1291";"3";"1";"2";"1";"2";"3";"3";"3";"3";"2";"3"
"Saša Kalajdžić";"1292";"3";"1";"1";"3";"3";"3";"3";"3";"3";"3";"3"
"Fábio Cardoso";"1293";"2";"2";"2";"2";"1";"3";"3";"2";"2";"2";"1"
"Zizo";"1294";"3";"3";"1";"1";"2";"1";"3";"1";"2";"3";"2"
"Eric Maxim Choupo-Moting";"1295";"1";"2";"1";"3";"2";"3";"2";"3";"2";"2";"2"
"Cheikhou Kouyaté";"1296";"2";"2";"2";"1";"2";"2";"1";"2";"3";"2";"1"
"Juan Escobar";"1297";"2";"1";"2";"1";"2";"2";"3";"3";"1";"1";"1"
"Tino Livramento";"1298";"4";"3";"4";"3";"2";"3";"1";"4";"1";"2";"1"
"David Mackalister Silva";"1299";"1";"3";"2";"3";"1";"2";"1";"2";"2";"1";"3"
"Fábio Carvalho";"1300";"2";"2";"2";"3";"1";"2";"3";"2";"2";"2";"2"
"Paco Alcácer";"1301";"1";"1";"3";"1";"2";"3";"3";"2";"2";"3";"3"
"Jun'ya Itô";"1302";"3";"3";"1";"1";"3";"2";"3";"3";"2";"3";"3"
"Julian Ryerson";"1303";"3";"1";"2";"2";"1";"4";"3";"2";"3";"1";"2"
"Luke Thomas";"1304";"2";"1";"3";"3";"1";"1";"2";"3";"1";"2";"1"
"Sebastian Rudy";"1305";"2";"1";"2";"1";"2";"3";"2";"2";"2";"1";"1"
"Maximiliano Meza";"1306";"2";"2";"3";"3";"3";"1";"1";"1";"2";"2";"3"
"Angelo Fulgini";"1307";"3";"2";"3";"3";"3";"3";"4";"1";"1";"3";"2"
"Lee Jae-Sung";"1308";"1";"3";"3";"2";"1";"2";"1";"1";"3";"4";"3"
"Shkodran Mustafi";"1309";"1";"1";"3";"2";"3";"3";"1";"2";"1";"2";"1"
"Neco Williams";"1310";"2";"3";"2";"3";"1";"2";"3";"1";"2";"1";"3"
"Lars Unnerstall";"1311";"17";"15";"14";"6";"14";"10";"14";"13";"12";"8";"13"
"Christoph Baumgartner";"1312";"1";"2";"2";"1";"2";"3";"1";"2";"3";"3";"1"
"Yimmi Chará";"1313";"4";"1";"1";"1";"3";"3";"1";"2";"1";"3";"1"
"Yuri Alberto";"1314";"1";"3";"1";"4";"3";"1";"1";"1";"1";"2";"2"
"Diego Rico";"1315";"1";"1";"3";"1";"1";"1";"1";"3";"2";"1";"3"
"Yannick Gerhardt";"1316";"2";"3";"3";"3";"1";"3";"1";"1";"3";"1";"1"
"Reiss Nelson";"1317";"1";"1";"1";"2";"1";"2";"2";"2";"2";"2";"2"
"Jefferson Lerma";"1318";"1";"1";"2";"1";"3";"2";"1";"1";"1";"1";"3"
"Luís Maximiano";"1319";"14";"12";"12";"8";"14";"12";"15";"15";"12";"11";"12"
"Taison";"1320";"2";"3";"1";"2";"3";"2";"3";"1";"3";"3";"2"
"Andreas Schjelderup";"1321";"2";"1";"4";"3";"2";"3";"3";"1";"2";"1";"3"
"Jakub Jankto";"1322";"1";"1";"2";"2";"2";"1";"2";"1";"2";"4";"2"
"Jhon Arias";"1323";"3";"1";"2";"3";"2";"2";"1";"3";"1";"2";"1"
"Jesús Gallardo";"1324";"3";"2";"3";"1";"2";"3";"3";"3";"2";"2";"2"
"Borna Sosa";"1325";"1";"1";"2";"2";"3";"3";"3";"2";"1";"2";"2"
"Faouzi Ghoulam";"1326";"1";"1";"2";"1";"2";"2";"2";"4";"1";"2";"2"
"Nathan Redmond";"1327";"1";"1";"2";"1";"4";"3";"3";"2";"2";"3";"1"
"Kiko Femenía";"1328";"3";"2";"2";"2";"1";"3";"2";"3";"2";"3";"1"
"Abdelhamid Sabiri";"1329";"3";"1";"3";"3";"2";"3";"3";"2";"1";"3";"1"
"Kamil Grabara";"1330";"16";"14";"14";"13";"12";"8";"15";"16";"14";"14";"13"
"Aleksandar Dragović";"1331";"1";"3";"2";"2";"2";"3";"3";"2";"3";"2";"2"
"Youssef Maleh";"1332";"3";"2";"2";"3";"3";"3";"3";"3";"1";"2";"3"
"Aldo Rocha";"1333";"1";"2";"3";"3";"3";"2";"2";"1";"1";"1";"4"
"Carles Pérez";"1334";"1";"4";"2";"1";"2";"3";"2";"1";"3";"2";"3"
"Romain Faivre";"1335";"2";"3";"3";"3";"2";"1";"2";"1";"1";"1";"2"
"David García";"1336";"2";"1";"1";"2";"3";"1";"3";"3";"1";"2";"1"
"Viktor Claesson";"1337";"3";"2";"2";"1";"3";"1";"1";"3";"1";"2";"3"
"Rubén Vargas";"1338";"1";"2";"3";"1";"2";"3";"3";"1";"2";"2";"2"
"Jordan Teze";"1339";"2";"3";"1";"2";"1";"2";"3";"2";"2";"3";"2"
"Noah Okafor";"1340";"2";"3";"3";"2";"3";"3";"3";"3";"3";"1";"1"
"Arthur Theate";"1341";"1";"2";"2";"3";"3";"2";"1";"3";"2";"1";"1"
"Manu Koné";"1342";"2";"1";"1";"1";"2";"3";"1";"3";"2";"4";"4"
"Edu Expósito";"1343";"2";"3";"2";"1";"4";"1";"2";"2";"3";"1";"3"
"Moussa Marega";"1344";"3";"1";"1";"1";"1";"3";"2";"1";"1";"3";"2"
"Tanguy Nianzou";"1345";"1";"1";"2";"2";"3";"4";"2";"2";"1";"2";"1"
"Ruben Aguilar";"1346";"2";"4";"3";"1";"1";"1";"3";"3";"2";"2";"2"
"Brandon Soppy";"1347";"1";"2";"2";"3";"1";"2";"2";"1";"1";"3";"1"
"Liam Cooper";"1348";"3";"3";"3";"1";"2";"3";"2";"2";"2";"3";"3"
"Ludwig Augustinsson";"1349";"2";"2";"2";"2";"1";"2";"1";"3";"2";"2";"3"
"Borja Mayoral";"1350";"3";"2";"1";"1";"2";"1";"2";"3";"2";"1";"2"
"Myron Boadu";"1351";"1";"3";"2";"1";"4";"2";"2";"4";"2";"2";"1"
"Nemanja Radonjić";"1352";"3";"2";"3";"4";"3";"4";"2";"2";"3";"2";"1"
"Ethan Pinnock";"1353";"4";"1";"3";"3";"3";"3";"1";"2";"2";"1";"1"
"Anthony Modeste";"1354";"2";"1";"3";"2";"2";"1";"3";"3";"1";"2";"1"
"Kevin Gameiro";"1355";"1";"2";"3";"1";"2";"3";"4";"1";"3";"1";"1"
"Koffi Djidji";"1356";"1";"1";"1";"1";"2";"3";"2";"3";"2";"2";"1"
"João Paulo";"1357";"11";"12";"13";"5";"15";"13";"15";"15";"16";"13";"12"
"Luciano";"1358";"2";"3";"2";"1";"3";"2";"1";"1";"1";"2";"3"
"Luis Suárez";"1359";"1";"1";"2";"2";"2";"3";"3";"2";"2";"3";"3"
"Rodri";"1360";"4";"3";"4";"1";"1";"1";"2";"3";"3";"3";"1"
"Willian";"1361";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Yuri";"1362";"2";"1";"3";"1";"1";"2";"3";"3";"3";"3";"1"
"Álvaro Fernández";"1363";"13";"13";"13";"8";"14";"12";"14";"15";"14";"7";"13"
"Karol Linetty";"1364";"4";"1";"1";"1";"2";"1";"1";"1";"1";"2";"3"
"Lukáš Kalvach";"1365";"1";"1";"3";"1";"1";"3";"2";"4";"2";"2";"4"
"Sergio Escudero";"1366";"1";"3";"1";"1";"2";"1";"3";"1";"2";"3";"4"
"Bruno Valdez";"1367";"3";"3";"3";"2";"1";"1";"1";"1";"2";"1";"1"
"Derlis Gonzalez";"1368";"3";"1";"3";"1";"2";"1";"2";"3";"3";"2";"3"
"Junior Alonso";"1369";"1";"1";"1";"1";"1";"1";"3";"3";"3";"3";"1"
"Rodolfo Cota";"1370";"13";"14";"14";"5";"12";"8";"14";"14";"14";"10";"12"
"Abdallah El Saeed";"1371";"1";"1";"2";"2";"3";"3";"2";"2";"1";"3";"2"
"Pol Lirola";"1372";"3";"2";"3";"1";"3";"2";"1";"3";"1";"1";"2"
"Vanderson";"1373";"1";"2";"2";"3";"2";"1";"1";"1";"3";"3";"2"
"Nicolas Seiwald";"1374";"3";"1";"2";"4";"3";"3";"2";"1";"1";"1";"2"
"Marcos Antonio";"1375";"3";"3";"2";"2";"2";"2";"1";"1";"2";"3";"1"
"Rodrigo Fernández";"1376";"3";"3";"4";"1";"1";"2";"1";"1";"1";"4";"2"
"Adrián Ramos";"1377";"2";"2";"3";"3";"2";"4";"1";"1";"2";"2";"1"
"Mauro Júnior";"1378";"2";"1";"1";"1";"2";"2";"3";"1";"1";"2";"1"
"Jovane Cabral";"1379";"1";"1";"3";"3";"1";"3";"3";"1";"1";"3";"2"
"Kristijan Kahlina";"1380";"13";"16";"13";"7";"15";"10";"16";"15";"12";"7";"10"
"M'Bala Nzola";"1381";"2";"1";"3";"1";"2";"1";"2";"3";"1";"2";"1"
"Nino";"1382";"1";"3";"3";"3";"1";"3";"1";"2";"3";"2";"2"
"Xavi Simons";"1383";"2";"1";"2";"3";"4";"1";"1";"2";"2";"3";"2"
"Arthur Gomes";"1384";"4";"1";"3";"3";"1";"3";"1";"4";"2";"1";"2"
"Pere Milla";"1385";"2";"2";"2";"3";"3";"3";"2";"3";"4";"2";"3"
"Toma Bašić";"1386";"2";"4";"3";"3";"2";"2";"3";"3";"2";"3";"1"
"Alexander Djiku";"1387";"1";"3";"2";"3";"3";"2";"3";"3";"2";"4";"2"
"André Franco";"1388";"2";"4";"3";"1";"2";"1";"3";"2";"1";"4";"3"
"Zé Rafael";"1389";"2";"1";"1";"3";"3";"1";"2";"3";"3";"2";"2"
"Ilaix Moriba";"1390";"4";"2";"1";"1";"2";"3";"1";"3";"1";"3";"2"
"Leonardo Balerdi";"1391";"1";"3";"3";"2";"2";"1";"1";"1";"1";"1";"1"
"Stevan Jovetić";"1392";"3";"1";"2";"1";"1";"3";"1";"2";"3";"2";"3"
"Kiril Despodov";"1393";"1";"2";"4";"1";"1";"2";"3";"4";"2";"3";"1"
"Franck Honorat";"1394";"3";"1";"2";"3";"2";"2";"1";"3";"2";"1";"1"
"Amir Abedzadeh";"1395";"14";"13";"12";"13";"13";"11";"12";"17";"14";"10";"9"
"Mohamed El Shenawy";"1396";"17";"11";"10";"12";"14";"15";"13";"18";"12";"17";"16"
"Stole Dimitrievski";"1397";"13";"14";"13";"5";"14";"12";"13";"15";"11";"11";"14"
"Bart Ramselaar";"1398";"3";"3";"2";"2";"1";"3";"1";"3";"1";"3";"3"
"Marco Bizot";"1399";"15";"12";"12";"5";"11";"13";"13";"16";"12";"19";"14"
"Sergio Padt";"1400";"15";"13";"14";"8";"14";"16";"12";"14";"8";"11";"13"
"Lucas Höler";"1401";"4";"2";"3";"1";"3";"1";"2";"3";"3";"1";"2"
"Franco Armani";"1402";"14";"6";"10";"6";"16";"10";"16";"17";"10";"19";"9"
"Jens Toornstra";"1403";"1";"2";"3";"1";"3";"1";"2";"1";"3";"1";"3"
"Adam Armstrong";"1404";"4";"2";"1";"3";"1";"1";"2";"2";"2";"2";"1"
"Oumar Solet";"1405";"3";"1";"2";"1";"3";"3";"3";"2";"1";"3";"4"
"Maximilian Mittelstädt";"1406";"3";"1";"1";"1";"4";"3";"4";"1";"1";"1";"1"
"Alfredo Morelos";"1407";"1";"3";"2";"1";"3";"1";"2";"4";"1";"1";"2"
"Benjamin Šeško";"1408";"2";"1";"2";"2";"1";"2";"1";"3";"1";"1";"1"
"Benoît Badiashile";"1409";"3";"2";"2";"1";"1";"4";"1";"1";"2";"3";"4"
"Paulo Oliveira";"1410";"2";"3";"1";"1";"2";"2";"2";"1";"4";"2";"1"
"Riechedly Bazoer";"1411";"3";"2";"1";"2";"3";"2";"2";"3";"1";"2";"1"
"Joe Aribo";"1412";"1";"1";"1";"3";"1";"2";"2";"3";"1";"3";"1"
"Connor Goldson";"1413";"2";"2";"2";"3";"3";"3";"1";"4";"1";"1";"3"
"Javairo Dilrosun";"1414";"2";"3";"2";"1";"3";"4";"2";"2";"1";"2";"3"
"Jordi Masip";"1415";"13";"13";"12";"11";"14";"11";"13";"16";"15";"7";"12"
"Florian Lejeune";"1416";"3";"2";"3";"3";"3";"3";"2";"2";"2";"3";"2"
"Terem Moffi";"1417";"1";"1";"1";"4";"1";"2";"2";"1";"4";"2";"3"
"Samuel Umtiti";"1418";"3";"4";"2";"3";"1";"1";"2";"3";"2";"3";"1"
"Héctor Moreno";"1419";"3";"1";"2";"3";"3";"1";"1";"3";"2";"2";"2"
"Oussama Idrissi";"1420";"4";"3";"2";"1";"3";"1";"2";"2";"3";"1";"3"
"Néstor Araujo";"1421";"2";"2";"3";"3";"3";"2";"1";"1";"3";"3";"3"
"Duván Vergara";"1422";"2";"2";"2";"2";"3";"3";"3";"3";"1";"3";"2"
"Giuseppe Pezzella";"1423";"1";"3";"1";"3";"3";"3";"3";"1";"2";"3";"3"
"Roberto Alvarado";"1424";"3";"2";"1";"4";"1";"1";"2";"2";"1";"4";"2"
"Jerdy Schouten";"1425";"2";"2";"2";"1";"3";"3";"2";"3";"3";"3";"2"
"Roman Bürki";"1426";"16";"9";"9";"16";"13";"15";"17";"17";"17";"9";"16"
"Calvin Stengs";"1427";"1";"1";"3";"1";"1";"3";"1";"4";"3";"3";"3"
"Martín Nervo";"1428";"1";"3";"1";"2";"2";"2";"2";"1";"1";"2";"3"
"Hamza Choudhury";"1429";"2";"1";"2";"3";"3";"2";"3";"2";"3";"2";"1"
"Tjaronn Chery";"1430";"4";"3";"4";"3";"2";"4";"3";"3";"1";"1";"2"
"Mathew Ryan";"1431";"10";"10";"14";"8";"14";"15";"13";"15";"14";"13";"12"
"Vicente Iborra";"1432";"1";"4";"1";"2";"2";"4";"1";"2";"1";"3";"4"
"Ritsu Dôan";"1433";"2";"3";"2";"1";"1";"1";"2";"2";"2";"1";"3"
