"Name(ocultar)";"Futbolista_ID";"Nombre";"Apellidos";"Edad";"Posicion";"Nacionalidad 1";"Nacionalidad 2";"Nacionalidad 3";"Fecha de nacimiento";"Equipo";"Sueldo (Semanal)";"Sueldo (mensual)";"Sueldo (Anual)";"Club de Cesion (Solo Jugador cedido)";"Apariciones con la selección nacional";"Goles con la selección nacional"
"Víctor Guzmán";"1651";"Víctor";"Guzmán";"27";"CENTROCAMPISTA";"Mexico";;;"03/02/1995";"Pachuca CF";"17334";"69336";"832032";;"6";"1"
"Zeca";"1652";"Zeca";"";"33";"CENTROCAMPISTA";"Greece";"Portugal";;"31/08/1988";"Football Club København";"10082";"40328";"483936";;"33";"2"
"Brenner";"1653";"Brenner";"";"22";"DELANTERO";"Brazil";"Italy";"United States";"16/01/2000";"FC Cincinnati";"43017";"172068";"2064816";;"0";"0"
"Rodrigo Pinho";"1654";"Rodrigo";"Pinho";"31";"DELANTERO";"Brazil";"Germany";"Portugal";"30/05/1991";"SL Benfica";"9522";"38088";"457056";;"0";"0"
"Evander";"1655";"Evander";"";"24";"CENTROCAMPISTA";"Brazil";;;"09/06/1998";"Football Club Midtjylland";"9074";"36296";"435552";;"0";"0"
"Fabrício Bruno";"1656";"Fabrício";"Bruno";"26";"DEFENSA CENTRO";"Brazil";;;"12/02/1996";"FLA";"14243";"56972";"683664";;"0";"0"
"Mitchel Bakker";"1657";"Mitchel";"Bakker";"22";"LATERAL";"Holland";;;"20/06/2000";"Bayer 04 Leverkusen";"28766";"115064";"1380768";;"0";"0"
"Fran Navarro";"1658";"Fran";"Navarro";"24";"DELANTERO";"Spain";;;"03/02/1998";"Gil Vicente Futebol Clube";"3149";"12596";"151152";;"0";"0"
"Pathé Ciss";"1659";"Pathé";"Ciss";"28";"MEDIOCENTRO DEFENSIVO";"Senegal";;;"16/03/1994";"Vallecano";"10690";"42760";"513120";;"0";"0"
"Makoto Hasebe";"1660";"Makoto";"Hasebe";"38";"MEDIOCENTRO DEFENSIVO";"Japan";;;"18/01/1984";"Eintracht Frankfurt";"19657";"78628";"943536";;"114";"2"
"Yunis Abdelhamid";"1661";"Yunis";"Abdelhamid";"34";"DEFENSA CENTRO";"Morocco";"France";;"28/09/1987";"Stade de Reims";"18410";"73640";"883680";;"10";"0"
"Peter Shalulile";"1662";"Peter";"Shalulile";"29";"EXTREMO";"Namibia";"South Africa";;"23/03/1993";"Mamelodi Sundowns Football Club";"4983";"19932";"239184";;"46";"13"
"André Hahn";"1663";"André";"Hahn";"31";"EXTREMO";"Germany";;;"13/08/1990";"FC Augsburg";"34614";"138456";"1661472";;"1";"0"
"Bartosz Bereszyński";"1664";"Bartosz";"Bereszyński";"30";"LATERAL";"Poland";;;"12/07/1992";"U.C. Sampdoria";"15962";"63848";"766176";;"43";"0"
"Kwon Chang-Hoon";"1665";"Kwon";"Chang-Hoon";"28";"EXTREMO";"South Korea";;;"30/06/1994";"Suwon Samsung Bluewings";"13461";"53844";"646128";"Gimcheon Sangmu";"39";"12"
"Anthony Gordon";"1666";"Anthony";"Gordon";"21";"EXTREMO";"England";"Republic of Ireland";"Scotland";"24/02/2001";"Everton";"11599";"46396";"556752";;"0";"0"
"Birger Meling";"1667";"Birger";"Meling";"27";"LATERAL";"Norway";;;"17/12/1994";"Stade Rennais FC";"23014";"92056";"1104672";;"22";"0"
"Bibars Natcho";"1668";"Bibars";"Natcho";"34";"CENTROCAMPISTA";"Israel";"Serbia";;"18/02/1988";"FK Partizan Beograd";"12899";"51596";"619152";;"85";"3"
"Josip Stanišić";"1669";"Josip";"Stanišić";"22";"LATERAL";"Croatia";"Germany";;"02/04/2000";"FC Bayern München";"19177";"76708";"920496";;"5";"0"
"Rubén Castro";"1670";"Rubén";"Castro";"41";"DELANTERO";"Spain";;;"27/06/1981";"Málaga";"6816";"27264";"327168";;"0";"0"
"Josip Juranović";"1671";"Josip";"Juranović";"26";"LATERAL";"Croatia";;;"16/08/1995";"Celtic";"20879";"83516";"1002192";;"20";"0"
"Timo Hübers";"1672";"Timo";"Hübers";"26";"DEFENSA CENTRO";"Germany";;;"20/07/1996";"1. FC Köln";"4794";"19176";"230112";;"0";"0"
"Simon Banza";"1673";"Simon";"Banza";"25";"DELANTERO";"France";"Democratic Republic of Congo";;"13/08/1996";"Sporting Clube de Braga";"7829";"31316";"375792";;"0";"0"
"Joaquín Piquerez";"1674";"Joaquín";"Piquerez";"23";"LATERAL";"Uruguay";"Italy";;"24/08/1998";"SEP";"17891";"71564";"858768";;"7";"0"
"Filipe Luís";"1675";"Filipe";"Luís";"36";"LATERAL";"Brazil";"Italy";"Poland";"09/08/1985";"FLA";"33523";"134092";"1609104";;"44";"2"
"Jhon Lucumí";"1676";"Jhon";"Lucumí";"24";"DEFENSA CENTRO";"Colombia";;;"26/06/1998";"Bologna FC 1909";"29230";"116920";"1403040";;"6";"0"
"Georginio Rutter";"1677";"Georginio";"Rutter";"20";"EXTREMO";"France";"Martinique";;"20/04/2002";"TSG Hoffenheim";"16781";"67124";"805488";;"0";"0"
"Dayro Moreno";"1678";"Dayro";"Moreno";"36";"DELANTERO";"Colombia";;;"16/09/1985";"Club Atlético Bucaramanga S.A.";"9510";"38040";"456480";;"31";"3"
"Eduardo Salvio";"1679";"Eduardo";"Salvio";"32";"EXTREMO";"Argentina";;;"13/07/1990";"Pumas de la UNAM";"20283";"81132";"973584";;"14";"0"
"Ondrej Duda";"1680";"Ondrej";"Duda";"27";"EXTREMO";"Slovakia";;;"05/12/1994";"1. FC Köln";"19164";"76656";"919872";;"59";"10"
"Tom Davies";"1681";"Tom";"Davies";"24";"MEDIOCENTRO DEFENSIVO";"England";;;"30/06/1998";"Everton";"48717";"194868";"2338416";;"0";"0"
"Tonny Vilhena";"1682";"Tonny";"Vilhena";"27";"MEDIOCENTRO DEFENSIVO";"Holland";"Angola";;"03/01/1995";"Espanyol";"20999";"83996";"1007952";"U.S. Salernitana 1919";"15";"0"
"Arthur Masuaku";"1683";"Arthur";"Masuaku";"28";"LATERAL";"Democratic Republic of Congo";"France";;"07/11/1993";"West Ham United";"46397";"185588";"2227056";"Beşiktaş A.Ş.";"11";"1"
"Milot Rashica";"1684";"Milot";"Rashica";"26";"EXTREMO";"Kosovo";"Albania";;"28/06/1996";"Norwich City";"46397";"185588";"2227056";"Galatasaray A.Ş.";"44";"8"
"Alessio Zerbin";"1685";"Alessio";"Zerbin";"23";"EXTREMO";"Italy";;;"03/03/1999";"Parthenope";"8846";"35384";"424608";;"1";"0"
"Aleš Čermák";"1686";"Aleš";"Čermák";"27";"EXTREMO";"Czech Republic";;;"01/10/1994";"Viktoria Plzeň";"2842";"11368";"136416";;"0";"0"
"Martín Merquelanz";"1687";"Martín";"Merquelanz";"27";"EXTREMO";"Spain";"Pays Basque";;"12/06/1995";"Real San Sebastián";"11339";"45356";"544272";;"0";"0"
"Vedat Muriqi";"1688";"Vedat";"Muriqi";"28";"DELANTERO";"Kosovo";"Albania";;"24/04/1994";"Mallorca";"76922";"307688";"3692256";;"42";"20"
"Diego Valoyes";"1689";"Diego";"Valoyes";"25";"EXTREMO";"Colombia";"Argentina";;"22/09/1996";"Club Atlético Talleres de Córdoba";"12168";"48672";"584064";;"2";"0"
"Marcelo Allende";"1690";"Marcelo";"Allende";"23";"EXTREMO";"Chile";;;"07/04/1999";"Mamelodi Sundowns Football Club";"4154";"16616";"199392";;"1";"0"
"Zinho Vanheusden";"1691";"Zinho";"Vanheusden";"22";"DEFENSA CENTRO";"Belgium";;;"29/07/1999";"FC Internazionale Milano";"40000";"160000";"1920000";"AZ Alkmaar";"1";"0"
"Sebastián Pérez";"1692";"Sebastián";"Pérez";"29";"MEDIOCENTRO DEFENSIVO";"Colombia";;;"29/03/1993";"Boavista Futebol Clube - SAD";"3515";"14060";"168720";;"10";"1"
"Gabriel Strefezza";"1693";"Gabriel";"Strefezza";"25";"EXTREMO";"Brazil";"Italy";;"18/04/1997";"Salento";"2214";"8856";"106272";;"0";"0"
"Eduardo Bauermann";"1694";"Eduardo";"Bauermann";"26";"DEFENSA CENTRO";"Brazil";;;"13/02/1996";"SAN";"13227";"52908";"634896";;"0";"0"
"Frédéric Guilbert";"1695";"Frédéric";"Guilbert";"27";"LATERAL";"France";;;"24/12/1994";"Aston Villa";"28998";"115992";"1391904";;"0";"0"
"Jakub Kiwior";"1696";"Jakub";"Kiwior";"22";"DEFENSA CENTRO";"Poland";;;"15/02/2000";"Spezia Calcio";"25443";"101772";"1221264";;"2";"0"
"Habib Diallo";"1697";"Habib";"Diallo";"27";"DELANTERO";"Senegal";;;"18/06/1995";"RC Strasbourg Alsace";"20711";"82844";"994128";;"14";"2"
"Loris Karius";"1698";"Loris";"Karius";"29";"PORTERO";"Germany";;;"22/06/1993";"Newcastle United";"34798";"139192";"1670304";;"0";"0"
"Maximilian Philipp";"1699";"Maximilian";"Philipp";"28";"EXTREMO";"Germany";;;"01/03/1994";"VfL Wolfsburg";"76711";"306844";"3682128";;"0";"0"
"Dominik Kohr";"1700";"Dominik";"Kohr";"28";"MEDIOCENTRO DEFENSIVO";"Germany";;;"31/01/1994";"1. FSV Mainz 05";"32603";"130412";"1564944";;"0";"0"
"Jordy Clasie";"1701";"Jordy";"Clasie";"31";"MEDIOCENTRO DEFENSIVO";"Holland";;;"27/06/1991";"AZ Alkmaar";"8151";"32604";"391248";;"17";"0"
"Guus Til";"1702";"Guus";"Til";"24";"CENTROCAMPISTA";"Holland";"Zambia";;"22/12/1997";"PSV Eindhoven";"19999";"79996";"959952";;"5";"1"
"Josuha Guilavogui";"1703";"Josuha";"Guilavogui";"31";"MEDIOCENTRO DEFENSIVO";"France";"Guinea";;"19/09/1990";"VfL Wolfsburg";"57692";"230768";"2769216";;"7";"0"
"Claudio Baeza";"1704";"Claudio";"Baeza";"28";"MEDIOCENTRO DEFENSIVO";"Chile";;;"23/12/1993";"Deportivo Toluca";"13961";"55844";"670128";;"17";"0"
"Guillermo Maripán";"1705";"Guillermo";"Maripán";"28";"DEFENSA CENTRO";"Chile";;;"06/05/1994";"AS Monaco";"8054";"32216";"386592";;"38";"2"
"Xeka";"1706";"Xeka";"";"27";"MEDIOCENTRO DEFENSIVO";"Portugal";;;"10/11/1994";"Stade Rennais FC";"18429";"73716";"884592";;"0";"0"
"Tim Krul";"1707";"Tim";"Krul";"34";"PORTERO";"Holland";;;"03/04/1988";"Norwich City";"34798";"139192";"1670304";;"15";"0"
"Geromel";"1708";"Geromel";"";"36";"DEFENSA CENTRO";"Brazil";"Italy";;"21/09/1985";"GRE";"22363";"89452";"1073424";;"2";"0"
"Anthony Lozano";"1709";"Anthony";"Lozano";"29";"DELANTERO";"Honduras";"Spain";;"25/04/1993";"Cádiz";"15038";"60152";"721824";;"40";"9"
"Monchu";"1710";"Monchu";"";"22";"MEDIOCENTRO DEFENSIVO";"Spain";;;"13/09/1999";"Valladolid";"4293";"17172";"206064";;"0";"0"
"Juan Pablo Vargas";"1711";"Juan";"Pablo Vargas";"27";"DEFENSA CENTRO";"Costa Rica";;;"06/06/1995";"Azul y Blanco Millonarios Fútbol Club S. A.";"9390";"37560";"450720";;"11";"1"
"Bruno Varela";"1712";"Bruno";"Varela";"27";"PORTERO";"Portugal";"Cape Verde Islands";;"04/11/1994";"Vitória Sport Clube";"4750";"19000";"228000";;"0";"0"
"Hugo Vetlesen";"1713";"Hugo";"Vetlesen";"22";"CENTROCAMPISTA";"Norway";;;"29/02/2000";"FK Bodø/Glimt";"1160";"4640";"55680";;"0";"0"
"Valentino Lazaro";"1714";"Valentino";"Lazaro";"26";"LATERAL";"Austria";"Angola";"Greece";"24/03/1996";"FC Internazionale Milano";"43845";"175380";"2104560";"Torino";"36";"3"
"Rubén Alcaraz";"1715";"Rubén";"Alcaraz";"31";"MEDIOCENTRO DEFENSIVO";"Spain";;;"01/05/1991";"Cádiz";"11568";"46272";"555264";;"0";"0"
"Jacob Bruun Larsen";"1716";"Jacob";"Bruun Larsen";"23";"EXTREMO";"Denmark";;;"19/09/1998";"TSG Hoffenheim";"38329";"153316";"1839792";;"6";"1"
"Ivica Ivušić";"1717";"Ivica";"Ivušić";"27";"PORTERO";"Croatia";;;"01/02/1995";"NK Osijek";"2877";"11508";"138096";;"5";"0"
"Lucas Chaves";"1718";"Lucas";"Chaves";"26";"PORTERO";"Argentina";;;"09/08/1995";"Asociación Atlética Argentinos Juniors";"5105";"20420";"245040";"Club Atlético Huracán";"0";"0"
"Juan Carlos";"1719";"Juan";"Carlos";"34";"PORTERO";"Spain";;;"20/01/1988";"Girona";"4245";"16980";"203760";;"0";"0"
"Alberth Elis";"1720";"Alberth";"Elis";"26";"EXTREMO";"Honduras";;;"12/02/1996";"FC Girondins de Bordeaux";"8500";"34000";"408000";;"56";"12"
"Asmir Begović";"1721";"Asmir";"Begović";"35";"PORTERO";"Bosnia and Herzegovina";"Canada";"England";"20/06/1987";"Everton";"46397";"185588";"2227056";;"63";"0"
"Rodrigo Aliendro";"1722";"Rodrigo";"Aliendro";"31";"CENTROCAMPISTA";"Argentina";;;"16/02/1991";"Club Atlético River Plate";"17902";"71608";"859296";;"0";"0"
"Eduardo Sasha";"1723";"Eduardo";"Sasha";"30";"EXTREMO";"Brazil";"Italy";;"24/02/1992";"ATM";"15654";"62616";"751392";;"0";"0"
"Carlos Bacca";"1724";"Carlos";"Bacca";"35";"DELANTERO";"Colombia";;;"08/09/1986";"Club Deportivo Popular Junior F.C. S.A.";"19081";"76324";"915888";;"52";"16"
"Léandre Tawamba";"1725";"Léandre";"Tawamba";"32";"EXTREMO";"Cameroon";;;"20/12/1989";"Al-Taawoun Football Club";"19962";"79848";"958176";;"7";"0"
"Antonio Sanabria";"1726";"Antonio";"Sanabria";"26";"DELANTERO";"Paraguay";"Spain";;"04/03/1996";"Torino";"56923";"227692";"2732304";;"29";"2"
"Lucas Rodríguez";"1727";"Lucas";"Rodríguez";"25";"EXTREMO";"Argentina";;;"27/04/1997";"Xoloitzcuintles de Tijuana";"11392";"45568";"546816";;"0";"0"
"Andreas Ulmer";"1728";"Andreas";"Ulmer";"36";"LATERAL";"Austria";;;"30/10/1985";"Fussballclub RB Salzburg";"44079";"176316";"2115792";;"31";"0"
"Víctor Laguardia";"1729";"Víctor";"Laguardia";"32";"DEFENSA CENTRO";"Spain";;;"05/11/1989";"Alavés";"13223";"52892";"634704";;"0";"0"
"Pedro Aquino";"1730";"Pedro";"Aquino";"27";"MEDIOCENTRO DEFENSIVO";"Peru";;;"13/04/1995";"CF América";"16928";"67712";"812544";;"37";"3"
"Francesco Caputo";"1731";"Francesco";"Caputo";"34";"DELANTERO";"Italy";;;"06/08/1987";"U.C. Sampdoria";"28461";"113844";"1366128";;"2";"1"
"Gonzalo Plata";"1732";"Gonzalo";"Plata";"21";"EXTREMO";"Ecuador";;;"01/11/2000";"Valladolid";"8522";"34088";"409056";;"29";"5"
"Fabricio Bustos";"1733";"Fabricio";"Bustos";"26";"LATERAL";"Argentina";;;"28/04/1996";"INT";"9717";"38868";"466416";;"4";"0"
"Ayron del Valle";"1734";"Ayron";"del Valle";"33";"CENTROCAMPISTA";"Colombia";;;"27/01/1989";"Once Caldas S.A.";"8209";"32836";"394032";;"0";"0"
"José Callejón";"1735";"José";"Callejón";"35";"EXTREMO";"Spain";;;"11/02/1987";"Granada";"12822";"51288";"615456";;"5";"0"
"Byron Castillo";"1736";"Byron";"Castillo";"23";"LATERAL";"Ecuador";;;"10/11/1998";"Club León";"16299";"65196";"782352";;"12";"0"
"Giorgio Scalvini";"1737";"Giorgio";"Scalvini";"18";"DEFENSA CENTRO";"Italy";;;"11/12/2003";"Atalanta";"29769";"119076";"1428912";;"1";"0"
"Oscar Romero";"1738";"Oscar";"Romero";"30";"EXTREMO";"Paraguay";;;"04/07/1992";"Club Atlético Boca Juniors";"18925";"75700";"908400";;"57";"4"
"Imrân Louza";"1739";"Imrân";"Louza";"23";"CENTROCAMPISTA";"Morocco";"France";;"01/05/1999";"Watford";"34798";"139192";"1670304";;"10";"2"
"Jordan Siebatcheu";"1740";"Jordan";"Siebatcheu";"26";"EXTREMO";"United States";"France";"Cameroon";"26/04/1996";"1. FC Union Berlin";"33367";"133468";"1601616";;"9";"1"
"Oihan Sancet";"1741";"Oihan";"Sancet";"22";"CENTROCAMPISTA";"Spain";"Pays Basque";;"25/04/2000";"A. Bilbao";"12301";"49204";"590448";;"0";"0"
"Andre Blake";"1742";"Andre";"Blake";"31";"PORTERO";"Jamaica";"United States";;"21/11/1990";"Philadelphia Union";"16857";"67428";"809136";;"63";"0"
"André André";"1743";"André";"André";"32";"CENTROCAMPISTA";"Portugal";;;"26/08/1989";"Vitória Sport Clube";"5750";"23000";"276000";;"4";"1"
"Ander Guevara";"1744";"Ander";"Guevara";"25";"MEDIOCENTRO DEFENSIVO";"Spain";"Pays Basque";;"07/07/1997";"Real San Sebastián";"12466";"49864";"598368";;"0";"0"
"Junior Sornoza";"1745";"Junior";"Sornoza";"28";"DELANTERO";"Ecuador";;;"28/01/1994";"Club Independiente del Valle";"6587";"26348";"316176";;"13";"2"
"Darwin Machís";"1746";"Darwin";"Machís";"29";"EXTREMO";"Venezuela";"Spain";;"07/02/1993";"Fútbol Club Juárez";"14277";"57108";"685296";;"36";"9"
"Carlos Clerc";"1747";"Carlos";"Clerc";"30";"LATERAL";"Spain";;;"21/02/1992";"Elche";"18506";"74024";"888288";;"0";"0"
"Gabriel Veron";"1748";"Gabriel";"Veron";"19";"EXTREMO";"Brazil";;;"03/09/2002";"FC Porto";"20512";"82048";"984576";;"0";"0"
"Victor Wanyama";"1749";"Victor";"Wanyama";"31";"MEDIOCENTRO DEFENSIVO";"Kenya";;;"25/06/1991";"Club de Foot Montréal";"59946";"239784";"2877408";;"60";"7"
"Luís Neto";"1750";"Luís";"Neto";"34";"DEFENSA CENTRO";"Portugal";;;"26/05/1988";"Sporting Clube de Portugal";"24021";"96084";"1153008";;"19";"0"
"Ashley Westwood";"1751";"Ashley";"Westwood";"32";"MEDIOCENTRO DEFENSIVO";"England";;;"01/04/1990";"Burnley";"28708";"114832";"1377984";;"0";"0"
"Dominique Heintz";"1752";"Dominique";"Heintz";"28";"DEFENSA CENTRO";"Germany";;;"15/08/1993";"1. FC Union Berlin";"15332";"61328";"735936";"VfL Bochum 1848";"0";"0"
"Lukas Lerager";"1753";"Lukas";"Lerager";"29";"CENTROCAMPISTA";"Denmark";;;"12/07/1993";"Football Club København";"18821";"75284";"903408";;"10";"1"
"Sergi Guardiola";"1754";"Sergi";"Guardiola";"31";"EXTREMO";"Spain";;;"29/05/1991";"Valladolid";"5345";"21380";"256560";;"0";"0"
"Michael Estrada";"1755";"Michael";"Estrada";"26";"DELANTERO";"Ecuador";;;"07/04/1996";"Deportivo Toluca";"15931";"63724";"764688";"CD Cruz Azul";"35";"8"
"Dani Ojeda";"1756";"Dani";"Ojeda";"27";"EXTREMO";"Spain";;;"03/12/1994";"Ponferrada";"9148";"36592";"439104";;"0";"0"
"Édgar Méndez";"1757";"Édgar";"Méndez";"32";"EXTREMO";"Spain";;;"02/01/1990";"CD Necaxa";"14951";"59804";"717648";;"0";"0"
"Antonio Puertas";"1758";"Antonio";"Puertas";"30";"EXTREMO";"Spain";;;"21/02/1992";"Granada";"10183";"40732";"488784";;"0";"0"
"Matz Sels";"1759";"Matz";"Sels";"30";"PORTERO";"Belgium";;;"26/02/1992";"RC Strasbourg Alsace";"20698";"82792";"993504";;"2";"0"
"Álex Baena";"1760";"Álex";"Baena";"21";"EXTREMO";"Spain";;;"20/07/2001";"Villarreal";"11599";"46396";"556752";;"0";"0"
"Adam Ounas";"1761";"Adam";"Ounas";"25";"EXTREMO";"Algeria";"France";;"11/11/1996";"LOSC Lille";"41396";"165584";"1987008";;"19";"5"
"Pedro Chirivella";"1762";"Pedro";"Chirivella";"25";"MEDIOCENTRO DEFENSIVO";"Spain";;;"23/05/1997";"FC Nantes";"6999";"27996";"335952";;"0";"0"
"Tino Kadewere";"1763";"Tino";"Kadewere";"26";"EXTREMO";"Zimbabwe";;;"05/01/1996";"Olympique Lyonnais";"23014";"92056";"1104672";"Mallorca";"22";"3"
"Shon Weissman";"1764";"Shon";"Weissman";"26";"EXTREMO";"Israel";"Portugal";;"14/02/1996";"Valladolid";"10690";"42760";"513120";;"23";"3"
"Devyne Rensch";"1765";"Devyne";"Rensch";"19";"LATERAL";"Holland";"Suriname";;"18/01/2003";"AFC Ajax";"21999";"87996";"1055952";;"1";"0"
"Vina";"1766";"Vina";"";"31";"EXTREMO";"Brazil";;;"15/04/1991";"CEA";"15654";"62616";"751392";;"0";"0"
"Hugo González";"1767";"Hugo";"González";"31";"PORTERO";"Mexico";;;"01/08/1990";"CF Monterrey";"16790";"67160";"805920";"CD Necaxa";"5";"0"
"Luan";"1768";"Luan";"";"29";"DEFENSA CENTRO";"Brazil";;;"10/05/1993";"SEP";"10286";"41144";"493728";;"0";"0"
"Marcelo";"1769";"Marcelo";"";"32";"DEFENSA CENTRO";"Brazil";"Portugal";;"27/07/1989";"Dibba Al-Fujairah Club";"26919";"107676";"1292112";;"0";"0"
"Moisés";"1770";"Moisés";"";"34";"CENTROCAMPISTA";"Brazil";;;"17/03/1988";"Shandong Taishan";"15384";"61536";"738432";;"0";"0"
"Pedro Henrique";"1771";"Pedro";"Henrique";"26";"DEFENSA CENTRO";"Brazil";;;"02/10/1995";"ATP";"2458";"9832";"117984";;"0";"0"
"Adama Traoré";"1772";"Adama";"Traoré";"27";"EXTREMO";"Mali";;;"05/06/1995";"Ferencvárosi Torna Club";"7377";"29508";"354096";;"47";"8"
"André Gomes";"1773";"André";"Gomes";"28";"CENTROCAMPISTA";"Portugal";;;"30/07/1993";"Everton";"139190";"556760";"6681120";"LOSC Lille";"29";"0"
"Dodô";"1774";"Dodô";"";"27";"EXTREMO";"Brazil";;;"05/09/1994";"Khorfakkan Club";"22548";"90192";"1082304";;"0";"0"
"Emiliano Martínez";"1775";"Emiliano";"Martínez";"22";"MEDIOCENTRO DEFENSIVO";"Uruguay";;;"17/08/1999";"BRA";"11821";"47284";"567408";"Football Club Midtjylland";"0";"0"
"Fabiano";"1776";"Fabiano";"";"34";"PORTERO";"Brazil";;;"29/02/1988";"Omonoia Nicosia";"4800";"19200";"230400";;"0";"0"
"Amadou Diawara";"1777";"Amadou";"Diawara";"25";"MEDIOCENTRO DEFENSIVO";"Guinea";"Italy";;"17/07/1997";"RSC Anderlecht";"88941";"355764";"4269168";;"26";"0"
"Miha Zajc";"1778";"Miha";"Zajc";"28";"MEDIOCENTRO DEFENSIVO";"Slovenia";;;"01/07/1994";"Fenerbahçe A.Ş.";"33937";"135748";"1628976";;"34";"7"
"Deniz Undav";"1779";"Deniz";"Undav";"26";"EXTREMO";"Germany";"Turkey";;"19/07/1996";"Brighton & Hove Albion";"25000";"100000";"1200000";;"0";"0"
"Vanja Milinković-Savić";"1780";"Vanja";"Milinković-Savić";"25";"PORTERO";"Serbia";"Spain";;"20/02/1997";"Torino";"14230";"56920";"683040";;"4";"0"
"Cucho Hernández";"1781";"Cucho";"Hernández";"23";"EXTREMO";"Colombia";;;"20/04/1999";"Columbus Crew";"55958";"223832";"2685984";;"2";"2"
"Filip Đuričić";"1782";"Filip";"Đuričić";"30";"EXTREMO";"Serbia";;;"30/01/1992";"U.C. Sampdoria";"24626";"98504";"1182048";;"35";"4"
"Michele Di Gregorio";"1783";"Michele";"Di Gregorio";"24";"PORTERO";"Italy";;;"27/07/1997";"Brianza";"15962";"63848";"766176";;"0";"0"
"Dmitry Barinov";"1784";"Dmitry";"Barinov";"25";"MEDIOCENTRO DEFENSIVO";"Russia";;;"11/09/1996";"Lokomotiv Moscow";"27999";"111996";"1343952";;"13";"0"
"Mads Bech Sørensen";"1785";"Mads";"Bech Sørensen";"23";"LATERAL";"Denmark";;;"07/01/1999";"Brentford";"34798";"139192";"1670304";"OGC Nice";"0";"0"
"Alexandru Maxim";"1786";"Alexandru";"Maxim";"32";"EXTREMO";"Romania";;;"08/07/1990";"Gaziantep Futbol Kulübü A.Ş.";"27999";"111996";"1343952";;"56";"7"
"Giulio Maggiore";"1787";"Giulio";"Maggiore";"24";"MEDIOCENTRO DEFENSIVO";"Italy";;;"12/03/1998";"U.S. Salernitana 1919";"35577";"142308";"1707696";;"0";"0"
"Marinho";"1788";"Marinho";"";"32";"EXTREMO";"Brazil";;;"29/05/1990";"FLA";"26836";"107344";"1288128";;"0";"0"
"Rifat Zhemaletdinov";"1789";"Rifat";"Zhemaletdinov";"25";"EXTREMO";"Russia";;;"20/09/1996";"Lokomotiv Moscow";"24931";"99724";"1196688";;"9";"1"
"Simone Verdi";"1790";"Simone";"Verdi";"30";"EXTREMO";"Italy";;;"12/07/1992";"Torino";"60480";"241920";"2903040";"Hellas Verona";"4";"0"
"Isaac Success";"1791";"Isaac";"Success";"26";"EXTREMO";"Nigeria";;;"07/01/1996";"Udinese Calcio";"35960";"143840";"1726080";;"4";"0"
"David Von Ballmoos";"1792";"David";"Von Ballmoos";"27";"PORTERO";"Switzerland";;;"30/12/1994";"BSC Young Boys";"12760";"51040";"612480";;"0";"0"
"Omar Richards";"1793";"Omar";"Richards";"24";"LATERAL";"England";"Jamaica";;"15/02/1998";"Nottingham Forest";"57996";"231984";"2783808";;"0";"0"
"Martin Erlić";"1794";"Martin";"Erlić";"24";"DEFENSA CENTRO";"Croatia";;;"24/01/1998";"U.S. Sassuolo";"5384";"21536";"258432";;"3";"0"
"Laurent Abergel";"1795";"Laurent";"Abergel";"29";"MEDIOCENTRO DEFENSIVO";"France";;;"01/02/1993";"FC Lorient";"14468";"57872";"694464";;"0";"0"
"Darren Randolph";"1796";"Darren";"Randolph";"35";"PORTERO";"Republic of Ireland";"United States";;"12/05/1987";"West Ham United";"46397";"185588";"2227056";;"50";"0"
"Ismail Jakobs";"1797";"Ismail";"Jakobs";"22";"LATERAL";"Senegal";"Germany";;"17/08/1999";"AS Monaco";"17224";"68896";"826752";;"0";"0"
"Lutsharel Geertruida";"1798";"Lutsharel";"Geertruida";"22";"LATERAL";"Holland";"Curaçao";;"18/07/2000";"Feyenoord Rotterdam";"9588";"38352";"460224";;"0";"0"
"Mirko Ivanić";"1799";"Mirko";"Ivanić";"28";"EXTREMO";"Montenegro";"Serbia";;"13/09/1993";"FK Crvena zvezda Beograd";"6499";"25996";"311952";;"15";"1"
"Karim Onisiwo";"1800";"Karim";"Onisiwo";"30";"DELANTERO";"Austria";"Nigeria";;"17/03/1992";"1. FSV Mainz 05";"24931";"99724";"1196688";;"18";"1"
"Joel Ward";"1801";"Joel";"Ward";"32";"LATERAL";"England";;;"29/10/1989";"Crystal Palace";"46397";"185588";"2227056";;"0";"0"
"Brian Brobbey";"1802";"Brian";"Brobbey";"20";"DELANTERO";"Holland";"Ghana";;"01/02/2002";"AFC Ajax";"79999";"319996";"3839952";;"0";"0"
"Phil Jones";"1803";"Phil";"Jones";"30";"DEFENSA CENTRO";"England";;;"21/02/1992";"Manchester UFC";"127591";"510364";"6124368";;"27";"0"
"Falaye Sacko";"1804";"Falaye";"Sacko";"27";"LATERAL";"Mali";;;"01/05/1995";"Vitória Sport Clube";"3015";"12060";"144720";"Montpellier Hérault SC";"28";"1"
"Soualiho Meïté";"1805";"Soualiho";"Meïté";"28";"MEDIOCENTRO DEFENSIVO";"France";"Ivory Coast";;"17/03/1994";"SL Benfica";"29020";"116080";"1392960";"Cremonese";"0";"0"
"Pedro Gallese";"1806";"Pedro";"Gallese";"32";"PORTERO";"Peru";;;"23/02/1990";"Orlando City SC";"9986";"39944";"479328";;"91";"0"
